"year","self_reliance_ratio","sr_ratio_pct_of_1970","wives_share","wives_share_pct_of_1970","female_male_earn_ratio","earn_ratio_pct_of_1970"
1970,0.502827593281789,100,0.14739699318118,100,0.633174758680708,100
1980,0.569853054895991,113.329710324119,0.224248318854884,152.139005019756,0.636266970511683,100.488366250957
1990,0.629014466216432,125.095455106404,0.283407789193809,192.275149633103,0.694849231438337,109.740513485745
2000,0.732719221509279,145.719771806289,0.319184086876939,216.547217136648,0.731077014251411,115.4621223017
2010,0.776204782303182,154.367976752658,0.34066657447336,231.121793681784,0.760278871140679,120.074096561399
