"sex","self_reliance","year"
"Male",0.862500569802383,1970
"Female",0.36981789202701,1970
"Male",0.88097614380068,1980
"Female",0.48327128326304,1980
"Male",0.853169685688126,1990
"Female",0.519080254960137,1990
"Male",0.802318481069878,2000
"Female",0.564518002945867,2000
"Female",0.620035117208887,2010
"Male",0.833608080045182,2010
