"earnings_decile","men_faminc_pctile","women_faminc_pctile"
"No earn",18.1157880304067,44.1644735412981
"1",13.7949866501398,38.11632901691
"2",23.5371681471561,39.0746452877201
"3",31.5341738551835,42.125627159475
"4",39.1479807527265,44.8029058451265
"5",46.1899763247305,48.1343803389578
"6",53.1741809747419,55.2804398242914
"7",60.7512046382115,60.200838783246
"8",69.0221128869652,66.2132020440735
"9",79.2219116137329,72.5489635365194
"10",91.6831645236807,80.1323245273011
