"earnings_decile","men_faminc_pctile","women_faminc_pctile"
"No earn",16.1392738286817,47.6214788153547
"1",13.8724394928999,41.9076654402564
"2",24.5570933222709,42.1131858268392
"3",33.1574498403528,43.3338150785512
"4",40.7234280058924,44.5549437551231
"5",46.9270719276082,47.4862789079138
"6",53.1642509354258,50.0082410300693
"7",60.5771720087333,54.7959056857878
"8",68.2557167683419,59.4186031900677
"9",78.6894508347292,62.7056609482242
"10",91.4109448286217,72.99795283181
