"earnings_decile","men_faminc_pctile","women_faminc_pctile"
"No earn",18.1232603106632,44.8318348892267
"1",13.6360516230719,37.8190827640501
"2",23.3543268005681,39.0266511056327
"3",31.3496608968493,41.7338808773441
"4",39.0485788789825,44.4962306185418
"5",46.1478879182258,47.6377227752444
"6",52.3967702975004,54.6460328575935
"7",60.8688195821722,59.7617789956354
"8",69.2534660559895,65.3014700491413
"9",79.5280047200658,71.850166712977
"10",92.6475679457537,79.5956070367496
