"sex","self_reliance","year"
"Male",0.816963772193999,1970
"Female",0.248512743862597,1970
"Male",0.86449453044076,1980
"Female",0.373746097458253,1980
"Male",0.821983970430652,1990
"Female",0.412967110403639,1990
"Male",0.767697501536509,2000
"Female",0.496629519946853,2000
"Female",0.555613144033611,2010
"Male",0.792521804464455,2010
