sex,labern_decile,labern_mean,fam_inc_mean
Female,4,12268.5776019627,26864.0204163787
Male,10,91036.3001179404,72773.8452510945
Female,6,19542.218608907,33470.0930811152
Male,6,28663.2318256917,34662.5814304899
Male,4,19395.5978119223,27164.7847626645
Female,8,30025.0582508811,41691.0445991199
Female,1,1956.22055187674,20714.2862308615
Male,2,10485.1471138357,19186.5430735552
Female,7,24044.5491145798,37237.4403892842
Male,1,4460.78259721264,14890.6096091402
Female,2,5641.0051292966,21625.9121576111
Male,7,34556.9225593176,38818.5171224097
Male,5,23753.9105458205,30682.7940855286
Male,9,54439.0798712124,51064.8980818503
Male,3,15160.6343627237,23536.8419550423
Female,5,15749.308990317,30331.9584795913
Male,8,42408.261262874,43465.4021940938
Female,9,39644.7315632672,47680.2715590151
Female,10,70522.9617864671,63900.4131653902
Female,3,8935.1006676362,24046.7147799225
