sex,labern_decile,labern_mean
Male,3,13807.0091329687
Male,6,20887.7204146836
Female,3,2713.08676187792
Female,4,4526.15975279623
Male,2,10849.2643812607
Female,1,352.255769692483
Female,10,30860.4770995421
Male,7,23571.9527160185
Female,9,18138.6111232035
Male,8,27041.4844602896
Male,4,16227.3867587037
Male,1,5523.47116990135
Male,9,32428.271269512
Male,5,18469.5960684409
Female,6,8580.93640818819
Female,5,6477.66798423063
Female,7,10867.9405294531
Male,10,47911.1143423404
Female,2,1302.49611974496
Female,8,13765.042773168
