sex,fam_inc_decile,fam_inc_mean
Male,2,11545.0335328757
Female,2,10004.3324778551
Male,6,20975.6371943594
Female,6,19801.5684252412
Female,7,22379.5344987091
Male,1,6875.6785475838
Male,10,42846.8005014178
Female,10,40569.6730606589
Male,9,31613.7448010412
Female,9,30108.6457879577
Male,3,14186.2646982051
Female,4,15266.2614035867
Female,1,5177.05261076304
Male,8,26931.0748155938
Female,8,25567.2838047173
Male,4,16468.2507232941
Female,5,17497.5634437527
Male,7,23637.4850739804
Female,3,12908.9003517213
Male,5,18649.281330103
