"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Male",1990,"African-American",24412.6405747263,20047.8093568864,27928.7676101918,29068.2508957441,-7171.10893176327,8310.59221731552,0.0957612643104164,0.831718847103586,19700.9031596518,16524.8350282883,19867.3924719394,22641.0617365192,7625.75342401801,-4852.08415943813,388125585.305977,10735.3262797937,10093.4211446379,0.854697673594455,24745209.9840196,-142101252.504018,270769542.785977
"Male",1990,"White",24412.6405747263,20047.8093568864,27928.7676101918,29068.2508957441,-7171.10893176327,8310.59221731552,0.904238735689584,0.854149566640114,24706.0127658621,20266.4247569261,28782.4884748824,29748.9071600217,8383.11844972137,-7416.69976458207,610387066.786941,12142.0896822506,11826.853544423,0.854318239476792,20697726.9943052,-203409928.739748,427674865.041518
"Female",2000,"African-American",21083.7887595032,22244.868675999,17306.5359222228,32042.2936047318,-6909.60523564308,21645.362918152,0.137376240032391,0.695377813907333,19120.2546840679,19217.9290792996,16561.599832317,24055.8360195339,10137.5704483996,-2643.33426118268,365584139.183619,18403.7042547697,12671.9911934228,0.65658508104566,11964504.857509,-122030885.224049,255517758.817076
"Female",2000,"White",21083.7887595032,22244.868675999,17306.5359222228,32042.2936047318,-6909.60523564308,21645.362918152,0.862623759967609,0.560136526224436,21377.6270538419,22428.8511438725,17425.1699360825,33314.1685114395,23478.0243099818,-7589.02573462482,457002938.453151,27517.8564847031,17108.3346831871,0.559543640774941,-20166799.0204567,-168264334.037361,268571805.395336
"Male",2000,"African-American",29981.4636586296,22801.1697507235,32404.0402589172,34414.2928732007,-9005.86919994341,11016.1218142269,0.104757503049037,0.797512040168976,25354.8384896443,20052.7448618524,25026.2243492232,28865.6106632432,9834.61394191141,-5995.22762789147,642867834.835948,14545.2515843047,13966.5273553536,0.812532326320063,19892102.3636491,-257277615.038097,405482322.161499
"Male",2000,"White",29981.4636586296,22801.1697507235,32404.0402589172,34414.2928732007,-9005.86919994341,11016.1218142269,0.895242496950963,0.80119438901178,30360.2661014171,23014.3423627403,33267.3611750793,35063.5762746338,11154.3768847336,-9358.16178517919,921745757.748855,16573.7654995628,17537.7990126992,0.801353733148671,32863728.9774595,-394797694.749272,559811791.977034
"Female",2010,"African-American",22979.6437930342,24975.3831174925,18027.5642718454,32788.3126113517,-5614.8663003738,20375.6146398801,0.146284373996736,0.725766439046463,20796.3902730869,20682.0932733995,16778.1816242214,23909.2545155449,8788.14534380973,-1657.07245248626,432489848.390545,18392.1432272538,11928.1835194653,0.689360038932681,13731882.7271178,-134060235.360403,312161495.757259
"Female",2010,"White",22979.6437930342,24975.3831174925,18027.5642718454,32788.3126113517,-5614.8663003738,20375.6146398801,0.853715626003264,0.608475261531183,23326.6862995895,25328.6641602682,18241.6462833762,34309.7413115694,22361.1302384613,-6293.0352102681,544134293.719458,28151.2778825715,15359.7715660672,0.607905174647454,3618371.1930588,-188244911.955918,359507752.956583
"Male",2010,"African-American",31184.2910936152,25451.8266668698,31467.8408703581,35370.6035910731,-7460.10585439808,11362.8685751131,0.109695920195514,0.817742104983681,26211.3536505689,21548.3652734094,23642.5102337322,28656.4238443602,9530.78859081068,-4516.87498018265,687035060.195191,14580.0865215047,13048.5817245562,0.833196065989733,23306517.1670269,-248471168.488179,461870408.874038
"Male",2010,"White",31184.2910936152,25451.8266668698,31467.8408703581,35370.6035910731,-7460.10585439808,11362.8685751131,0.890304079804487,0.835410138162801,31609.5720947151,25771.4878430051,32432.01352158,36197.8694010147,11588.6023488975,-7822.74646946277,999165048.010991,17767.2358159606,15725.2546629921,0.83557007447252,49994989.3553692,-368613466.304285,680546571.062071
