"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8831.36492972282,12089.512036733,5462.8976439336,20682.7828672816,-2581.41437775694,17801.2996011049,0.701814799576631,0.364730350759046,9139.55947351903,12097.5694522647,5553.54253271466,21475.3829815866,18601.3859040826,-2679.54545521071,83531547.3699914,15574.4147029014,7213.09585678315,0.364580524186716,-24938168.4682489,-18266436.807233,40326942.0945112
"Female",1970,"South",8831.36492972282,12089.512036733,5462.8976439336,20682.7828672816,-2581.41437775694,17801.2996011049,0.298185200423369,0.379874789286923,8055.81202918721,11863.6496383432,5249.55397576293,18817.3029924401,15918.20007916,-2350.45106248284,64896107.4495974,14764.3978483534,6627.26791648564,0.379244589740853,-13701456.6061018,-14889511.44074,36305139.402756
"Male",1970,"Not South",15780.2521501284,12454.0447248342,22319.8493133378,22276.9865551872,-3695.32568312991,3652.46292497939,0.708512918311131,0.85999904940785,15792.852356037,12416.8551816278,23221.2752747197,22994.800714184,3584.86733700091,-3811.34189753652,249414185.539583,6447.53567766929,7220.39782966359,0.860459268477668,1015371.13349389,-81785840.9574882,168643715.715575
"Male",1970,"South",15780.2521501284,12454.0447248342,22319.8493133378,22276.9865551872,-3695.32568312991,3652.46292497939,0.291487081688869,0.866398880094457,15533.4240648804,12371.8829118336,20128.7678601232,20532.2073298124,3816.76642352934,-3413.32695384015,241287263.179405,6250.28449104023,6854.6028113255,0.869004888911826,744591.88884148,-75529307.7596348,166502547.308608
"Female",1980,"Not South",12005.2337510813,14299.8817258927,7630.72196131247,19406.9836272945,-3400.38033013515,15176.6419961172,0.673520993817065,0.503572071114884,12521.3999137521,14543.1159946517,7800.23112987347,19824.4906150564,15467.5786613727,-3443.31917618978,156785455.800111,18831.8726078679,10344.4513451919,0.503707014841418,-16606954.5924473,-48477940.7649768,91700560.4426935
"Female",1980,"South",12005.2337510813,14299.8817258927,7630.72196131247,19406.9836272945,-3400.38033013515,15176.6419961172,0.326479006182935,0.472836955993638,10855.0884062971,13744.8518563638,7281.02724432249,18545.6733561973,14576.4442859743,-3311.79817409945,117832944.308525,18206.9447148811,9786.63993244723,0.473680388242325,-8121755.74069555,-39163166.6902446,70548021.8775811
"Male",1980,"Not South",21554.6731672933,15191.0782606814,21659.6414926686,21063.5020312262,-5058.39826156013,4462.25880011779,0.676485249253655,0.881012325166777,21616.8500385517,15332.5360600445,22148.1668279853,21434.1581815776,4397.12426788829,-5111.13291429595,467288205.589234,7658.51333800218,10936.1079717646,0.881076205313162,16413599.6759213,-191698082.271014,292003722.994147
"Male",1980,"South",21554.6731672933,15191.0782606814,21659.6414926686,21063.5020312262,-5058.39826156013,4462.25880011779,0.323514750746345,0.885728273848918,21388.5914999515,14861.4792153681,20638.1109984144,20288.4417977148,4598.45830931681,-4948.12751001634,457471846.351796,7365.57409016153,10667.9468392262,0.886003709467499,13359879.8398773,-189288727.01779,281542999.173867
"Female",1990,"Not South",15949.2684073356,18901.3097812043,13079.4581738531,26651.5385717544,-5234.30781119516,18806.3882090964,0.658069507641831,0.522037923063535,16459.323721612,19239.8801701486,13478.1908596848,27523.149674707,19496.8071371278,-5451.8483221056,270909337.372818,22202.1755253019,11998.2247374038,0.522446124759984,-20175256.0599605,-85417504.814304,165316576.498555
"Female",1990,"South",15949.2684073356,18901.3097812043,13079.4581738531,26651.5385717544,-5234.30781119516,18806.3882090964,0.341930492358169,0.517496524518494,14888.9680194452,18114.7937629932,12312.0688122426,24974.0611247465,17477.6279663267,-4815.63565382282,221681368.684061,20736.1524094976,11104.1785184426,0.519355065108306,-11031771.5365472,-71075306.7758584,139574290.371656
"Male",1990,"Not South",23866.4245899686,19683.9725195246,27692.7662311004,28872.2221084837,-7068.55054495348,8248.0064223367,0.665624918230693,0.851050960463281,24335.9019473066,20008.4581577535,28638.1440771732,29667.9418097166,8338.69730163964,-7308.89956909623,592236123.58892,12189.4252370837,11799.7013486124,0.851280363736835,22371542.116196,-200210633.495691,414397032.209432
"Male",1990,"South",23866.4245899686,19683.9725195246,27692.7662311004,28872.2221084837,-7068.55054495348,8248.0064223367,0.334375081769307,0.846958385375474,22787.3726943087,18922.7121033954,25810.8465373254,27288.2199206855,8067.47230836844,-6590.09892500826,519264354.309326,11318.9250565027,11144.6641470703,0.84800865539538,18867622.1845121,-172924458.229031,365207518.264807
"Female",2000,"Not South",21120.3171724085,22375.6478714534,17238.8158811725,32072.2916052256,-6875.47527712295,21708.951001176,0.647980624544326,0.559754695072886,21458.3172720156,22579.311891899,17610.7670643848,32778.9886602889,22282.1828635213,-7113.96126761723,460459380.146482,27049.5602110238,17389.0429240307,0.559938873419211,-13152527.1478,-176097845.197846,271209007.800825
"Female",2000,"South",21120.3171724085,22375.6478714534,17238.8158811725,32072.2916052256,-6875.47527712295,21708.951001176,0.352019375455674,0.576479217365472,20466.3481329387,21936.8537939404,16554.1457271905,30771.4370755258,20653.7728886348,-6436.48154029945,418871405.898643,26205.189189135,16165.1884505942,0.577125781064685,-10747261.0836457,-149303834.762303,258820310.052691
"Male",2000,"Not South",29653.0719253724,22716.3517556296,32278.9147383971,34345.0668860914,-8933.2522098996,10999.4043575939,0.655995552706381,0.795720956878122,30455.7658292346,23192.3970385447,33145.0919922831,35061.5989430182,11107.3156139696,-9190.80866323459,927553672.245172,16622.4906138571,17936.0205997892,0.795897904308938,34206813.566584,-399709184.021307,562051301.790449
