"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8863.88426025116,12088.6300408747,5460.3736191483,20692.7800060712,-2583.43683602889,17815.8432229518,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474265612634633,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8863.88426025116,12088.6300408747,5460.3736191483,20692.7800060712,-2583.43683602889,17815.8432229518,0.895990482151718,0.363194843818217,9000.56614398146,12131.1315648854,5423.50788753279,21512.1889503316,18943.2419857408,-2854.56092294199,81010190.9121853,15444.9245521056,7069.30845714736,0.362090046854854,-24268547.8327274,-17085468.7627901,39656174.3166678
"Male",1970,"African-American",15735.6267493045,12436.7170859622,22347.4910917727,22298.4797834975,-3701.74258399116,3652.73127571601,0.0854194732933232,0.822651116954386,10400.2416102998,9550.44686089517,14536.6080799691,16403.7055644646,4053.55677619705,-2186.45929170158,108165025.552611,6043.55647373391,5312.17236937283,0.875180930547955,10498593.301087,-36952188.5111903,81711430.3425069
"Male",1970,"White",15735.6267493045,12436.7170859622,22347.4910917727,22298.4797834975,-3701.74258399116,3652.73127571601,0.914580526706677,0.861765150578407,15950.0969649462,12532.0509874293,23077.0075130621,22849.0365625556,3615.29520296591,-3843.26615347238,254405593.191186,6429.50548824605,7220.01543533848,0.862040958861702,73410.2446574748,-82222983.5854798,172256019.850357
"Female",1980,"African-American",11537.6094508617,14122.5986209109,7538.73467033214,19393.9434549801,-3369.47683001424,15224.6856146622,0.116076256256409,0.693282052071832,11032.8852716993,11242.2594274019,7745.5070545309,13865.3055490663,6430.73592697991,-310.937432444462,121724557.41848,11464.7861000995,8057.72134435778,0.613736487544675,8934379.36787442,-44668003.5713195,85990933.2150353
"Female",1980,"White",11537.6094508617,14122.5986209109,7538.73467033214,19393.9434549801,-3369.47683001424,15224.6856146622,0.883923743743591,0.456836608333868,11602.0790736564,14300.4627451262,7511.58146348044,20119.9603708713,16379.5010211703,-3771.12211377938,134608238.831375,19197.7184405588,10356.0142385807,0.456129077064526,-15802322.1239349,-43009825.3536153,75796091.3538322
"Male",1980,"African-American",21824.5228322299,15363.3415976538,21805.994499019,21162.6225274254,-5097.82089351117,4454.44892191761,0.0895902138552913,0.874336308432128,18176.8966089077,13137.0056954083,15706.9262959322,16958.9563752106,4450.83405585114,-3198.80397657272,330399570.330921,7042.21733759103,9388.70093640836,0.886435271375056,16799043.8858139,-138415852.130869,208782762.085867
"Male",1980,"White",21824.5228322299,15363.3415976538,21805.994499019,21162.6225274254,-5097.82089351117,4454.44892191761,0.910409786144709,0.882784633242208,22060.24411108,15503.8646833997,22406.1822748407,21576.2904770506,4454.80464812891,-5284.69644591904,486654370.240442,7622.97147670265,11073.797262674,0.882869540433556,14316463.6673497,-199041681.489529,301929152.418321
"Female",1990,"African-American",16146.8315736004,19337.2924307955,13203.3611440044,26885.5416138321,-5325.29245437002,19007.4729241978,0.127497737490065,0.702783394667948,14841.0504097878,15770.6411706534,12229.8802098049,18879.1716854647,8212.19543446439,-1562.9039588046,220256777.265862,14318.0193608381,9861.22368140976,0.654932923797229,12147905.6620505,-67916204.962169,164488477.965742
"Female",1990,"White",16146.8315736004,19337.2924307955,13203.3611440044,26885.5416138321,-5325.29245437002,19007.4729241978,0.872502262509935,0.501467632785646,16324.180150582,19531.9726518798,13345.6147769556,28055.5031087615,20584.9742266689,-5875.085894863,266478857.588657,22884.0876034464,12070.443769249,0.501072435174628,-22296578.9591608,-84292613.4103194,159889665.219186
