"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8841.13807949883,12106.5421052158,5463.29823962915,20684.7189003838,-2585.22445941864,17806.6451201733,0.701814799576631,0.363153852494907,9133.83802182423,12129.1909218227,5553.12033447211,21480.5780838556,18615.3688417092,-2687.91109232572,83426997.008922,15715.2830780578,7304.7607480919,0.363000934388706,-24931363.6435398,-18263246.9795465,40232386.3858368
"Female",1970,"South",8841.13807949883,12106.5421052158,5463.29823962915,20684.7189003838,-2585.22445941864,17806.6451201733,0.298185200423369,0.383311440401189,8106.94784185667,11844.1603489232,5251.8911161359,18811.5684135507,15903.2163928699,-2343.53909545503,65722603.3105845,14696.7181551097,6644.51292712848,0.382549362375035,-13481278.9157241,-15435763.6519221,36805560.7429384
"Male",1970,"Not South",15892.6140288838,12470.8842365182,22324.480714002,22278.779281898,-3698.8552307363,3653.15379863235,0.708512918311131,0.858587172556219,16019.389673078,12454.9010702125,23237.9283031328,23000.7919901123,3584.77576064067,-3821.91207366112,256620845.497919,6445.37448968204,7416.55566257478,0.859052704861798,1040084.8708381,-86355691.8965348,171305238.472207
"Male",1970,"South",15892.6140288838,12470.8842365182,22324.480714002,22278.779281898,-3698.8552307363,3653.15379863235,0.291487081688869,0.865330440363275,15355.6929608865,12335.0279804977,20104.1784853422,20523.7947110872,3819.35918572935,-3399.74295998435,235797306.309019,6323.79509206949,6788.15946562115,0.868042933011151,984551.59206945,-72877107.7152452,163904750.185839
"Female",1980,"Not South",11837.1869997882,14354.9291428203,7608.1888708093,19453.1324837367,-3399.58325675824,15244.5268696857,0.673520993817065,0.492301014410677,12384.3657854056,14516.7671562366,7773.0603010355,19857.5894095067,15510.2997511397,-3425.77064266852,153372515.906726,18994.96154843,10504.0505752289,0.492437187509436,-15612617.8328247,-49253551.8095213,88506346.2643882
"Female",1980,"South",11837.1869997882,14354.9291428203,7608.1888708093,19453.1324837367,-3399.58325675824,15244.5268696857,0.326479006182935,0.468219842503583,10611.8373578379,13978.5556103679,7268.06173419405,18618.7442828361,14696.2416450417,-3345.55909639959,112611092.109205,18594.4850329466,9968.66393137835,0.469056890567521,-7003908.57089506,-36152314.2650883,69454869.2732187
"Male",1980,"Not South",21923.5634693115,15395.9964342987,21791.0497838617,21155.2421427231,-5112.898147068,4477.09050592938,0.676485249253655,0.88453304698854,22480.9218545654,15735.6812225821,22340.4106143388,21569.6128489433,4411.61662587972,-5182.41439127522,505391847.431075,7756.53860024776,11327.1760173511,0.884605714930101,16305454.6166679,-208791419.29342,312905882.754328
"Male",1980,"South",21923.5634693115,15395.9964342987,21791.0497838617,21155.2421427231,-5112.898147068,4477.09050592938,0.323514750746345,0.884561739156297,20663.083135401,14622.7736970319,20642.3092782801,20288.7726236855,4613.99960810422,-4967.53626269885,426963004.660495,7508.61677357905,10298.4372840434,0.884934895781474,14976601.8488183,-174667871.833279,267271734.67602
"Female",1990,"Not South",16113.4471678587,19058.3545993221,13125.3017850565,26720.0576984718,-5251.7963030455,18846.5522164608,0.658095126016274,0.525581926532364,16751.5397820176,19474.8401026967,13563.5566416819,27651.2371658835,19573.2807516231,-5485.60022742152,280614085.068519,22471.286595815,12113.8558087774,0.526051665709036,-20974175.1758093,-88177447.5965425,171462462.296169
"Female",1990,"South",16113.4471678587,19058.3545993221,13125.3017850565,26720.0576984718,-5251.7963030455,18846.5522164608,0.341904873983726,0.511976049682287,14771.8622988368,18095.9864636728,12281.7531636589,24927.7326525901,17447.7523065476,-4801.77281761646,218207915.775796,20907.2028166715,11103.2680674801,0.51427385972484,-12601338.1504324,-68749532.6748754,136857044.950489
"Male",1990,"Not South",24121.464158573,19843.5301711539,27713.7631485218,28919.7545277333,-7076.36052313173,8282.35190234317,0.665640518518653,0.851175501355002,24750.2997624937,20273.1301302305,28737.1752428165,29794.0976734262,8401.60360083786,-7344.68117022814,612577338.333295,12368.0980843807,11942.7069787375,0.851439096008063,21830115.4682085,-207316486.462226,427090967.339298
