"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8850.75765063533,12081.2530901533,5463.84414920363,20682.70620117,-2583.48559330215,17802.3476452685,0.701814799576631,0.364938907484393,9148.75471122741,12097.0074062498,5553.97481099575,21476.6060828801,18606.4154870958,-2683.78421521145,83699712.7662057,15589.1966614601,7222.64557564914,0.364782991354899,-24983549.8797915,-18327442.1237344,40388720.7626814
"Female",1970,"South",8850.75765063533,12081.2530901533,5463.84414920363,20682.70620117,-2583.48559330215,17802.3476452685,0.298185200423369,0.382747048225924,8102.53322427669,11836.0644453232,5251.71077621416,18814.1671671227,15909.8770918782,-2347.42070096965,65651044.6505076,14658.3595126828,6588.86253998955,0.382016567572443,-13652761.4145729,-15292035.4704917,36706247.7654433
"Male",1970,"Not South",15776.2302500169,12451.9355381851,22321.712150151,22277.5249511271,-3697.74062960724,3653.55343058333,0.708512918311131,0.859878350062694,15811.142712654,12418.0746984165,23227.1307029445,22996.6585075961,3585.42211178049,-3815.89430712888,249992233.879913,6461.84546172127,7233.84859313739,0.860341319120385,971390.16672956,-82131711.1811559,168831912.86547
"Male",1970,"South",15776.2302500169,12451.9355381851,22321.712150151,22277.5249511271,-3697.74062960724,3653.55343058333,0.291487081688869,0.866072415928799,15472.1224517302,12360.9801657067,20120.9259697963,20529.5386877317,3819.15912135254,-3410.54640341713,239386573.161332,6317.46985190614,6824.2196645693,0.868713067605806,769995.931897323,-74519700.9883897,165636868.104836
"Female",1980,"Not South",11537.1826534741,14192.9012498295,7580.56119914418,19412.9488313268,-3372.53257630341,15204.9202084861,0.673520993817065,0.476770091079493,11953.1581268991,14446.5223452569,7736.65102970681,19836.4013168699,15512.4560790967,-3412.70579193362,142877989.206655,19121.3338806272,10521.8903977269,0.476907352285013,-15039525.526637,-45509057.7415909,82329405.938431
"Female",1980,"South",11537.1826534741,14192.9012498295,7580.56119914418,19412.9488313268,-3372.53257630341,15204.9202084861,0.326479006182935,0.47223380282248,10620.7298688385,13613.5779081752,7258.55036287505,18539.3730929301,14570.4786018731,-3289.65587181808,112799902.946839,18094.489083393,9622.13337224272,0.472988786484637,-7748551.9832989,-36772891.3001834,68278459.6633533
"Male",1980,"Not South",21748.9046638208,15333.8914791226,21724.4992649683,21130.3906525599,-5072.71424453146,4478.60563212304,0.676485249253655,0.878055303946001,22287.1550637176,15684.9506742139,22284.4344197153,21545.7496906782,4418.42724402887,-5157.11197306601,496717280.834193,7783.8505745573,11403.7244653802,0.878135574512973,16360727.3356845,-206133644.761431,306944363.40845
"Male",1980,"South",21748.9046638208,15333.8914791226,21724.4992649683,21130.3906525599,-5072.71424453146,4478.60563212304,0.323514750746345,0.883761351132395,20529.1976784207,14534.5793209084,20553.6473274569,20261.8544829326,4604.44160026869,-4896.23444479303,421447957.319676,7325.73894926309,10207.4355740969,0.884152926002752,13614556.2119756,-171362927.543226,263699585.988412
"Female",1990,"Not South",16024.5346810348,18982.6040568607,13070.6663225518,26685.3803783513,-5221.02267968094,18835.7367354804,0.658080870558025,0.523126837676934,16638.3889050301,19299.0224663593,13487.7226127877,27611.0847591912,19587.0551787031,-5463.69303229962,276835985.355028,22298.7570722011,12045.4914830508,0.523562574229593,-21627198.8050347,-87230330.9926557,167978455.557342
"Female",1990,"South",16024.5346810348,18982.6040568607,13070.6663225518,26685.3803783513,-5221.02267968094,18835.7367354804,0.341919129441975,0.515742109149535,14738.6230653443,18226.8318110762,12267.9713490413,24903.7066070803,17389.6980303946,-4753.96277235562,217227009.8623,20702.9806401047,11268.4273716931,0.51782676007547,-9209763.05893399,-69469109.8605114,138548136.942854
"Male",1990,"Not South",24071.3826317179,19757.5812727437,27753.7684001069,28909.5530797958,-7072.01164983057,8227.79632951951,0.665662681974904,0.853944533570253,24699.8981033694,20153.6170473797,28792.4826685459,29787.0627771293,8333.18797569801,-7338.60786711462,610084966.316833,12077.6598294777,11889.5106371697,0.854210544008667,21298196.6510329,-206296160.216963,425087002.750912
"Male",1990,"South",24071.3826317179,19757.5812727437,27753.7684001069,28909.5530797958,-7072.01164983057,8227.79632951951,0.334337318025096,0.849868971150017,22627.4770563819,18823.5205673457,25685.6973579062,27162.4389316164,8017.96248187328,-6541.22090816307,512002717.93709,11107.8649631408,11044.7726153726,0.851131042764257,21049179.8895138,-171068243.990532,361983653.836069
"Female",2000,"Not South",21135.0405243128,22308.5424843132,17281.6034079669,32081.1047094917,-6981.9786361285,21781.4799376533,0.647973768135455,0.565709712721856,21706.8763102133,22499.2922586496,17655.6066927865,32765.3319611976,22323.246739555,-7213.52147114391,471188479.146898,27199.1534416458,17171.9538265293,0.565888046789858,-14742025.6368943,-180159852.291046,276286601.218945
"Female",2000,"South",21135.0405243128,22308.5424843132,17281.6034079669,32081.1047094917,-6981.9786361285,21781.4799376533,0.352026231864545,0.574282035388497,20022.0405895391,21897.7454649379,16593.1765356967,30821.6493893568,20784.2511964325,-6555.77834277244,400882109.36915,26627.0984028983,16090.3752751877,0.574969092531291,-4532537.25918314,-144562764.356082,251786807.75388
"Male",2000,"Not South",30023.0675364488,22838.2592017862,32354.5387613429,34357.7250077731,-9017.44736762626,11020.6336140565,0.65593798134732,0.802330874167191,30616.2117524487,23173.1644152014,33126.2692198499,35009.6580535817,11109.6327867321,-9226.24395300022,937352422.07078,16737.0706642045,17784.1640358962,0.802467521530673,34276044.689624,-402395163.987692,569233302.772725
"Male",2000,"South",30023.0675364488,22838.2592017862,32354.5387613429,34357.7250077731,-9017.44736762626,11020.6336140565,0.34406201865268,0.803029437799565,28801.9890467304,22133.1794880135,30883.2711070997,33114.8454603128,10850.9608966347,-8619.38654342158,829554573.047978,15923.2900106819,16648.683841825,0.803582579929525,39564651.8581402,-357204345.583628,511914879.322507
"Female",2010,"Not South",23398.2301236846,25208.0197351129,18110.1623339563,33010.6313689444,-5689.87785694329,20590.3468919313,0.624835328484534,0.626582980858552,24126.1516262926,25592.6988665586,18627.5649500395,34007.0253346171,21308.3635318865,-5928.9031473088,582071192.294863,27770.156414878,15839.0093563548,0.626798836521594,11819009.6666304,-207004451.790774,386885750.170691
"Female",2010,"South",23398.2301236846,25208.0197351129,18110.1623339563,33010.6313689444,-5689.87785694329,20590.3468919313,0.375164671515466,0.613701532358101,22106.3223820896,24464.4620022712,17248.4302516866,31351.1410221422,19394.4929186042,-5291.78214814868,488689489.260877,26802.9282180213,14404.0269746884,0.614465973595107,5858002.02300603,-162645868.009333,331901623.274559
"Male",2010,"Not South",31418.2365093907,25679.4349559381,31539.3153847849,35428.2383524413,-7538.66270903372,11427.5856766901,0.636528804751275,0.833263572336125,32218.556698602,26179.9128623577,32275.8084293794,36300.5934200187,11768.2264556359,-7743.44146499662,1038035395.74103,18266.2043270299,16108.6953106796,0.833344943659834,51694093.0763219,-386889158.320361,702840330.496962
"Male",2010,"South",31418.2365093907,25679.4349559381,31539.3153847849,35428.2383524413,-7538.66270903372,11427.5856766901,0.363471195248725,0.836592441980489,29922.1889465394,24705.026687624,30249.532195604,33900.5268425822,10831.0386305794,-7180.04398360125,895337391.352404,16824.3749947318,14649.3066075533,0.836880802383098,50108813.4327715,-327013248.468283,618432956.316895
