"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8877.84070295142,12051.2119769327,5461.27088346418,20689.631110076,-2581.23440768376,17809.5946342955,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474432445469726,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8877.84070295142,12051.2119769327,5461.27088346418,20689.631110076,-2581.23440768376,17809.5946342955,0.895990482151718,0.362523892944446,9015.9092740309,12089.7472823667,5424.50930923732,21508.6745201474,18936.2680403913,-2852.10282948117,81286620.0375563,15355.1083459492,7022.10427644986,0.36141619363501,-24263643.9698825,-17507848.3018147,39515127.7658592
"Male",1970,"African-American",15603.5585781321,12414.7244001871,22339.5706432168,22296.1771647389,-3698.17845903452,3654.78498055667,0.0854194732933232,0.821915322109252,10380.0373759454,9528.86684187283,14534.4346584951,16401.5321429906,4053.55677619705,-2186.45929170158,107745175.926023,6043.55647373391,5312.17236937283,0.87484638803445,10507405.2277581,-36956941.600887,81295639.5528933
"Male",1970,"White",15603.5585781321,12414.7244001871,22339.5706432168,22296.1771647389,-3698.17845903452,3654.78498055667,0.914580526706677,0.86174607832218,15809.1266246861,12509.7285222731,23068.5503069304,22846.7218771023,3617.54071856643,-3839.36914839458,249928484.63536,6498.26548013397,7123.2539002199,0.862024181089597,37358.6705536975,-79540146.3596912,170425696.946213
"Female",1980,"African-American",12038.6017608507,14315.8066202224,7632.77695484869,19467.3819607047,-3410.68969890175,15245.2947047578,0.116076256256409,0.713340853873113,11480.2199459999,11398.9023707525,7823.57624214815,13914.9736380848,6409.89019897084,-318.492803034177,131795450.008534,11349.9617290614,7917.94045295461,0.633931339376336,8301033.72362207,-46747339.7104078,93349144.0217482
"Female",1980,"White",12038.6017608507,14315.8066202224,7632.77695484869,19467.3819607047,-3410.68969890175,15245.2947047578,0.883923743743591,0.473566092298079,12109.8902024573,14498.7758047158,7607.72132406281,20196.5203913198,16405.5539293818,-3816.75486212482,146649440.715572,19231.3736897171,10434.9815345374,0.472863446872563,-16490387.2977909,-47010989.9443918,83148063.4733981
"Male",1980,"African-American",21743.7789449792,15357.1803887845,21802.7497488351,21168.5815921805,-5103.7372175861,4469.56906093144,0.0895902138552913,0.856494867296024,16843.3966422988,12556.8652041101,15333.0587862542,16772.3247756848,4466.91122290274,-3027.64523347213,283700010.449801,7066.37733812556,9075.58873885608,0.873116780913123,18235782.8945544,-120786905.18048,181148888.163877
"Male",1980,"White",21743.7789449792,15357.1803887845,21802.7497488351,21168.5815921805,-5103.7372175861,4469.56906093144,0.910409786144709,0.882393796076983,22065.3901948814,15538.6440839997,22439.4092023432,21601.2017093483,4469.83060939127,-5308.03810238619,486881444.45237,7688.40182231512,11090.6145152847,0.882487746512255,14887551.0387046,-199225948.184073,302543047.307062
"Female",1990,"African-American",15890.091327204,19490.8768821964,13089.0043219084,26725.8978799103,-5232.70750526459,18869.6010632665,0.127526111052714,0.706499871207368,14375.4694057286,15227.3502579303,12068.4505654391,18713.1769049875,8258.20883292218,-1613.48249337375,206654120.635039,14033.9677988544,9535.18903990499,0.656623886387566,13860562.9185685,-65861644.3116585,154653039.241947
"Female",1990,"White",15890.091327204,19490.8768821964,13089.0043219084,26725.8978799103,-5232.70750526459,18869.6010632665,0.872473888947286,0.490166596674878,16094.2588872627,19768.1263720346,13238.174690594,27897.0861043686,20420.6269462572,-5761.71553248251,259025169.130235,22669.1193308486,12566.9389508387,0.489835702812047,-22194100.8661229,-80882926.6366337,155948141.627485
