"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8887.33067668451,12052.6189438654,5465.54842371999,20678.0001924828,-2574.75480672158,17787.2065754844,0.701814799576631,0.368292717426501,9179.65046393958,12057.281435585,5555.57450384714,21470.6249366427,18588.2735317003,-2673.22309890477,84265982.6401061,15373.4494022334,7066.541755633,0.368125104660053,-25022340.9259187,-18480403.7549121,40763237.9592766
"Female",1970,"South",8887.33067668451,12052.6189438654,5465.54842371999,20678.0001924828,-2574.75480672158,17787.2065754844,0.298185200423369,0.384675924242697,8154.38903580402,11834.2413191906,5253.6611962808,18812.46234831,15901.7989679777,-2342.99781594847,66494060.5472408,14603.3852223896,6574.97033986745,0.383900167197548,-13620288.3347599,-15752157.9004163,37121614.3120648
"Male",1970,"Not South",15593.9088846901,12414.6804389353,22305.2002122009,22271.792307963,-3688.26289500434,3654.85499076644,0.708512918311131,0.860285638270678,15567.7056735157,12368.9561195583,23206.2891078476,22989.2294933879,3586.36896327292,-3803.4285777326,242353459.937214,6491.0624512371,7053.35839809582,0.860753140476822,906178.548455587,-77606246.2583437,165653392.227309
"Male",1970,"South",15593.9088846901,12414.6804389353,22305.2002122009,22271.792307963,-3688.26289500434,3654.85499076644,0.291487081688869,0.864611042374691,15440.1250272012,12352.9460841757,20114.938059198,20527.9293861307,3821.32286619278,-3408.3315392601,238397460.855606,6391.5452134893,6846.91155589033,0.867269021659083,772707.623050469,-74262012.093163,164908156.385489
"Female",1980,"Not South",12025.1014095556,14288.8034754342,7633.8231915371,19426.3615368989,-3402.55452809313,15195.092873455,0.673520993817065,0.498238222176131,12495.0527242992,14533.7708465838,7819.17209016504,19876.4594100271,15494.1496809919,-3436.86236112979,156126342.583017,18902.1728335075,10425.7823763082,0.498403808031665,-16051211.2843387,-49594954.0565407,90480177.2421453
"Female",1980,"South",12025.1014095556,14288.8034754342,7633.8231915371,19426.3615368989,-3402.55452809313,15195.092873455,0.326479006182935,0.47097682008944,10982.6953454726,13723.4375777212,7251.45136350954,18497.8167879775,14578.1434390183,-3331.77801455029,120619597.051466,18274.9194613149,9781.65257332621,0.471966828058759,-7890781.34329087,-41743032.0739261,70985783.6342465
"Male",1980,"Not South",21697.8894010821,15339.4874839501,21719.2206116846,21117.1624172314,-5078.31043678181,4476.25224232863,0.676485249253655,0.879697137525765,22158.8337930036,15649.7226472255,22285.4667240059,21549.4462841997,4413.79382806478,-5149.81426787106,491013915.065959,7743.74822593111,11275.5826798485,0.879780117447058,16623557.4437152,-202576448.357375,305061024.152304
"Male",1980,"South",21697.8894010821,15339.4874839501,21719.2206116846,21117.1624172314,-5078.31043678181,4476.25224232863,0.323514750746345,0.884086815085897,20651.3190986204,14628.7438654291,20535.17215161,20213.2355983779,4606.85585729145,-4928.79241052362,426476980.513042,7462.71548101238,10235.1059073547,0.88448732580915,13436894.5094158,-172828721.838883,267085153.183564
"Female",1990,"Not South",15937.6609829983,19534.5795255069,13072.9327742185,26719.4381195866,-5222.18445717837,18868.6898025464,0.658085639341793,0.516333594993812,16521.4963226928,19678.6773007023,13476.9205616321,27616.6212421835,19610.3350105196,-5470.6343299682,272959840.740752,22792.486990466,12175.330008129,0.516757011246201,-18278189.1394759,-86810656.3543124,167870995.24697
"Female",1990,"South",15937.6609829983,19534.5795255069,13072.9327742185,26719.4381195866,-5222.18445717837,18868.6898025464,0.341914360658207,0.490394766583458,14718.2191002958,19136.6030834923,12295.3738531644,24992.6217094648,17441.2386129728,-4743.9907566724,216625973.484312,20819.5627451359,12682.2739875731,0.492471536396275,-10381824.471867,-68121169.0136236,138122979.998821
