"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8872.40368877875,12095.1130533088,5464.7655577517,20681.7695971358,-2575.43511816356,17792.4391575476,0.701814799576631,0.369419647288628,9190.66774149717,12117.5448699716,5555.8986572616,21475.9961296517,18594.060709935,-2673.96323754492,84468373.5345968,15428.8807433124,7113.17666878643,0.36925906053907,-25062630.4364073,-18264094.374978,41141648.7232124
"Female",1970,"South",8872.40368877875,12095.1130533088,5464.7655577517,20681.7695971358,-2575.43511816356,17792.4391575476,0.298185200423369,0.381777191870797,8070.13245499041,11833.9176587865,5250.27282680287,18812.4617510566,15905.7262411243,-2343.53731687055,65127037.8410896,14647.5147971414,6578.77203224105,0.381113833050976,-13612046.4158859,-15054779.793677,36460211.6315269
"Male",1970,"Not South",15618.1178839689,12437.8907854201,22308.844487718,22274.7723695949,-3687.05679171161,3652.98467358848,0.708512918311131,0.859520987536872,15662.6499754893,12414.229205447,23214.858204114,22994.5434355741,3585.27565009258,-3805.59041863247,245318604.254696,6457.86505160218,7132.62223425683,0.859990562126995,898560.742327933,-79092139.0354977,167125025.961509
"Male",1970,"South",15618.1178839689,12437.8907854201,22308.844487718,22274.7723695949,-3687.05679171161,3652.98467358848,0.291487081688869,0.865694845321467,15287.5126584101,12321.4846044611,20106.6116528548,20525.2365221805,3817.56389800942,-3398.9390286838,233708043.281048,6270.9274632974,6720.33622483808,0.868385283894061,852353.187693431,-71493915.1728384,163066481.295899
"Female",1980,"Not South",11525.5101738243,14131.057156571,7549.95351941628,19364.2156842964,-3365.2793723408,15179.5415372209,0.673520993817065,0.482433746576276,12063.7271744733,14366.6973567531,7722.13209099302,19785.3337737025,15470.5788085521,-3407.37712584256,145533513.340125,18967.1342091346,10412.4074550996,0.482595654703203,-14505771.7147232,-47414294.2961934,83613447.3292134
"Female",1980,"South",11525.5101738243,14131.057156571,7549.95351941628,19364.2156842964,-3365.2793723408,15179.5415372209,0.326479006182935,0.461995157512691,10318.1153915563,13591.2276828031,7194.7518664886,18495.4557679782,14579.1362783452,-3278.43237685563,106463505.233471,18136.6324210359,9688.661709991,0.462976002664487,-6782657.87263593,-34892561.1898197,64788286.1710128
"Male",1980,"Not South",21526.058227004,15335.3098073234,21644.4667406306,21085.1424895638,-5042.95657253337,4483.63232146658,0.676485249253655,0.875108642932991,21993.3122923417,15710.4264044488,22174.3046553058,21494.0255932779,4426.1420407822,-5106.42110281004,483705785.58847,7913.24744458689,11274.2668339037,0.875185264795535,16685863.6343634,-198020335.55889,302371313.663943
"Male",1980,"South",21526.058227004,15335.3098073234,21644.4667406306,21085.1424895638,-5042.95657253337,4483.63232146658,0.323514750746345,0.882608864479553,20470.9134098747,14482.7638499648,20536.5496118254,20230.1478171617,4603.84732485892,-4910.24911952255,419058295.834589,7365.75749879063,10216.9599727276,0.882972171142078,13895236.7141448,-171281712.253018,261671820.295702
"Female",1990,"Not South",15906.3698864676,18994.4421447196,13108.2811785009,26721.6668867739,-5248.53594801246,18861.9216562854,0.658080557862036,0.522022946361138,16495.7208109618,19391.5117495464,13533.2559397464,27644.4548551127,19597.2910843432,-5486.09216897686,272108805.073199,22465.4251934463,12135.5338650083,0.522484115079852,-18551549.4706758,-86574140.422388,166983115.180142
"Female",1990,"South",15906.3698864676,18994.4421447196,13108.2811785009,26721.6668867739,-5248.53594801246,18861.9216562854,0.341919442137964,0.514545920317993,14671.4882657187,18074.1579186104,12290.3469124383,24945.6087100418,17446.5814801754,-4791.31968257186,215252567.931121,20758.4554257056,11158.0323355061,0.516729256255711,-9902548.18634804,-68905410.3866767,136444609.358094
"Male",1990,"Not South",24337.8805606883,19909.0258086102,27799.9498635648,28956.6388305488,-7120.29593503687,8276.98490202088,0.665656192195631,0.857371405663928,24787.1815881797,20231.4393742762,28810.841880468,29812.1176537146,8384.47719075758,-7383.201417511,614404371.085396,12175.8473218364,11844.5637008999,0.857615985590095,23899172.1560694,-208348620.737562,429954922.503924
"Male",1990,"South",24337.8805606883,19909.0258086102,27799.9498635648,28956.6388305488,-7120.29593503687,8276.98490202088,0.334343807804369,0.857349496996644,23288.0184327855,19138.0267662699,25787.3313703086,27253.4376267576,8062.97493401593,-6596.86867756696,542331802.525759,11098.3296179644,11123.3129205923,0.858435543392671,19428544.8921536,-179651062.122063,382109285.295851
"Female",2000,"Not South",20783.3022518453,22249.8035329278,17196.2827501019,31984.2207614853,-6897.61928870238,21685.5573000857,0.647996079932053,0.564252644440223,21522.0162798407,22571.9311133312,17628.3015413082,32694.6820303119,22216.6024218919,-7150.22193288822,463197184.749729,27067.9235574618,17156.2950652419,0.564491141719587,-15410276.7538941,-173676658.523662,274110249.472158
"Female",2000,"South",20783.3022518453,22249.8035329278,17196.2827501019,31984.2207614853,-6897.61928870238,21685.5573000857,0.352003920067947,0.562297111974547,19325.0196316097,21583.6802883759,16400.9890979613,30676.3486302477,20707.968308659,-6432.60877637258,373456383.762101,26247.4980942316,15900.1351671952,0.563280031400685,-6409801.34580892,-132509620.056752,234536962.359533
"Male",2000,"Not South",29774.7376276261,22694.6040373813,32289.3247659415,34287.2536515247,-8957.13688454402,10955.0657701272,0.655966414159138,0.799628206993881,30551.6734931322,23191.0861954353,33074.4302124851,34977.0792611827,11090.1461124931,-9187.4970637956,933404753.230959,16508.854176191,17753.5098054596,0.799774712661152,32079590.3426195,-398926574.053255,566557769.520327
"Male",2000,"South",29774.7376276261,22694.6040373813,32289.3247659415,34287.2536515247,-8957.13688454402,10955.0657701272,0.344033585840862,0.805028215249564,28174.3213480211,21656.2661362366,30792.3697426485,32971.9680219066,10697.509033076,-8517.91075381789,793792383.421557,15346.1289742093,16243.2127192097,0.805632251437156,37110216.1179506,-339714149.924945,491188449.614568
"Female",2010,"Not South",23206.4220227193,25110.8803522892,18081.6777396177,32974.1306041724,-5753.16879769333,20645.621662248,0.624829957044156,0.61924965068525,23968.9286021589,25532.6853650191,18598.0158734233,33976.3177294172,21365.3417785029,-5987.03992250895,574509538.335392,28031.1158316736,15655.0868397601,0.619474358761467,8087518.64789542,-203621774.323156,378975282.660104
"Female",2010,"South",23206.4220227193,25110.8803522892,18081.6777396177,32974.1306041724,-5753.16879769333,20645.621662248,0.375170042955843,0.615642646554558,21850.9061015128,24301.0404236264,17221.7382534471,31305.0300185196,19446.9580222082,-5363.66625713569,477462097.457131,26891.6092983886,14244.1932703473,0.616415172578679,10024501.9732213,-160580506.502551,326906092.927816
"Male",2010,"Not South",31640.3124424565,25800.6357111707,31586.4324631558,35472.2802216595,-7561.90768360037,11447.7554421041,0.636528278265349,0.835960641283351,32595.5214689216,26442.3880316407,32337.5850848858,36382.9902456596,11758.3567990569,-7712.9516382832,1062468019.83093,18170.0104835182,16160.1294597924,0.836036529840725,47796413.9347087,-389747092.394541,720517341.371063
"Male",2010,"South",31640.3124424565,25800.6357111707,31586.4324631558,35472.2802216595,-7561.90768360037,11447.7554421041,0.363471721734651,0.84136595808957,29849.1712408639,24555.7897604995,30270.9796880609,33877.4032369819,10903.8161611485,-7297.39261222751,890973023.766414,16908.9315130553,14462.0002417212,0.841636347239245,52852685.2459169,-327129724.994326,616695984.018008
