"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8849.99666767511,12064.0446084788,5463.82949893263,20679.9358697729,-2578.15022780649,17794.2565986468,0.701814799576631,0.366969045408789,9164.49742456304,12058.4660196567,5554.82910325059,21471.3337469235,18591.189830301,-2674.68518662803,83988013.0448226,15406.4507368387,7091.79126306356,0.366813459372921,-24995647.5461883,-18438696.7369782,40553668.7616572
"Female",1970,"South",8849.99666767511,12064.0446084788,5463.82949893263,20679.9358697729,-2578.15022780649,17794.2565986468,0.298185200423369,0.379971077105667,8057.67076363762,11871.0357235693,5249.65096500376,18817.28560494,15918.5782099969,-2350.94357006059,64926058.1351804,14815.2693470502,6690.0234421585,0.379364562106241,-13623531.5199051,-14957192.1300389,36345334.4852363
"Male",1970,"Not South",15671.1551028889,12420.2550193091,22311.0968897805,22273.3026768287,-3691.15029627446,3653.35608332258,0.708512918311131,0.859785023155589,15621.0843397455,12368.392521587,23209.5304954628,22989.7355083024,3586.08368054597,-3805.87866770641,244018275.949441,6481.62663292708,7106.34790449301,0.86025053431202,932366.836854929,-78833553.6234909,166117089.162789
"Male",1970,"South",15671.1551028889,12420.2550193091,22311.0968897805,22273.3026768287,-3691.15029627446,3653.35608332258,0.291487081688869,0.864747677231928,15578.0723623675,12374.0112395187,20127.2889069959,20531.8810218438,3816.87402084799,-3412.28190600013,242676338.527157,6252.9665982508,6940.67008878345,0.867364401477423,838435.005269899,-76823207.3231485,166691566.209274
"Female",1980,"Not South",11882.7520523808,14469.7514694795,7638.15985384037,19447.7731107226,-3429.69079568318,15239.3040525654,0.673520993817065,0.489612453290631,12460.6026894045,14565.0924627907,7831.33012022832,19889.711152254,15515.5873977545,-3457.20636572881,155266619.383196,19039.8874965306,10572.9621975488,0.489798542761972,-16527280.6766618,-49879657.6395559,88859681.0669833
"Female",1980,"South",11882.7520523808,14469.7514694795,7638.15985384037,19447.7731107226,-3429.69079568318,15239.3040525654,0.326479006182935,0.446704371694329,10580.6445807796,14228.0748341748,7239.65266860157,18536.0619645208,14669.3359085107,-3372.92661259143,111950039.744782,19693.6281395463,10410.9337367952,0.447881082120754,-6781020.28532922,-37921159.3043761,67247860.1550732
"Male",1980,"Not South",22310.8399303686,15620.7097845584,21766.0388820459,21142.4555339824,-5110.34087193247,4486.75752386892,0.676485249253655,0.876423549105904,22019.5700560924,15662.4919487466,22273.3809328124,21547.5648405617,4423.24910590459,-5149.06519815522,484861465.455161,7862.12394136872,11258.0601856645,0.876493659258499,16361292.3834666,-198960630.938642,302262126.899983
"Male",1980,"South",22310.8399303686,15620.7097845584,21766.0388820459,21142.4555339824,-5110.34087193247,4486.75752386892,0.323514750746345,0.891737637828332,22872.1623415139,15499.1917645476,20705.1617106718,20295.3520569258,4619.55674819236,-5029.36640193833,523135810.176568,7488.86435151097,11413.6705520746,0.89198104512073,14194313.9676753,-221209104.602729,316121019.541503
"Female",1990,"Not South",16061.6410008297,19260.7787873311,13136.9668034227,26773.0159812577,-5270.72930940572,18906.7784872407,0.658097140148434,0.51973869642813,16642.3953550048,19604.5532278275,13558.0780162744,27684.0988779475,19625.6277145557,-5499.60685288257,276969323.152285,22579.8372752647,12342.5900403837,0.520186523562134,-19383879.5983007,-88012000.9153779,169573442.63861
"Female",1990,"South",16061.6410008297,19260.7787873311,13136.9668034227,26773.0159812577,-5270.72930940572,18906.7784872407,0.341902859851566,0.513109886541337,14846.9086431042,18455.4364976558,12326.4088426545,25019.3569185344,17523.1322056645,-4830.18412978451,220430696.256682,21018.7131207472,11335.1242031455,0.515206245964449,-9635799.33834777,-70199617.1668516,140595279.751481
"Male",1990,"Not South",24450.6802264083,20058.5343216853,27847.7534969879,29017.189688863,-7137.87346752557,8307.30965940065,0.665625583695559,0.856171472981554,24904.4953507927,20327.5364633393,28823.965256933,29843.797569453,8407.33459982178,-7387.50228730175,620233888.677653,12288.7627628631,11929.1906387545,0.856399454830397,23242243.243535,-210041860.265591,433434271.655619
"Male",1990,"South",24450.6802264083,20058.5343216853,27847.7534969879,29017.189688863,-7137.87346752557,8307.30965940065,0.334374416304441,0.850058672932343,23400.9358030861,19407.9885380483,25904.4483550888,27371.6949195977,8108.19406889655,-6640.94750438768,547603796.460158,11481.7867793467,11268.0794654549,0.851105785464256,19287226.307814,-180824045.80114,386066976.966838
"Female",2000,"Not South",21083.1436176832,22278.1426213132,17246.7730845377,32042.7780950397,-6937.90199716178,21733.9070076638,0.648053667174854,0.567499041993827,21654.4858392731,22584.691026661,17635.2092404493,32793.9917783929,22326.6744526783,-7167.89191473472,468916756.963277,27250.9501426822,17207.6340006262,0.567690372715464,-15997916.0459287,-175377832.067692,277541008.849647
"Female",2000,"South",21083.1436176832,22278.1426213132,17246.7730845377,32042.7780950397,-6937.90199716178,21733.9070076638,0.351946332825146,0.577006426171856,19969.1232574371,21634.7021753255,16531.529162883,30659.5365694892,20642.419241788,-6514.41183518179,398765883.670714,26276.4379227857,15864.3621798339,0.577745602260068,-7421760.43494384,-142062325.126683,249281798.109082
"Male",2000,"Not South",30073.0550868714,22827.4458509803,32382.238934832,34369.1495802074,-9010.83286586536,10997.7435112408,0.655896241480944,0.797769874551892,30677.0144464325,23235.6036351064,33171.2358855946,35075.4144657554,11102.3753978788,-9198.19681771807,941079215.34663,16675.2440206105,17826.682069184,0.797919140014644,32362711.5137208,-404792399.225935,568649527.634411
"Male",2000,"South",30073.0550868714,22827.4458509803,32382.238934832,34369.1495802074,-9010.83286586536,10997.7435112408,0.344103758519056,0.808244243280153,28827.8604402979,21966.2562766616,30878.3316925155,33022.9379435938,10798.3046516356,-8653.69840055726,831045537.565295,15950.949759993,16343.6509053875,0.808821994975061,34002674.6563903,-353235489.931124,511812722.290578
"Female",2010,"Not South",23262.4471336589,25142.2732194347,18114.8240458089,32970.3542801023,-5758.44452793269,20613.9747622262,0.624857353316396,0.622327204631242,23893.8632849959,25520.7315805661,18580.8923545698,33951.7170433186,21326.5140255594,-5955.68933681047,570916702.682075,27862.0608624912,15633.6091033991,0.622498708305896,9140243.76067729,-200568742.739472,379488203.703271
"Female",2010,"South",23262.4471336589,25142.2732194347,18114.8240458089,32970.3542801023,-5758.44452793269,20613.9747622262,0.375142646683604,0.619833932715234,22149.4614781171,24411.9009081284,17338.5161201397,31335.7447674606,19427.1318315265,-5429.90318420561,490598643.770594,26965.4070079364,14284.2631934205,0.620409725359708,9020274.3596064,-164468228.009171,335150690.121033
"Male",2010,"Not South",31360.6317600091,25639.0362118181,31557.3522077866,35429.0112392265,-7553.12113012295,11424.7801615628,0.636532730537799,0.831056461731862,32023.9031047979,26121.4550141436,32230.8501615219,36267.4208466213,11720.3541326646,-7683.78344756516,1025530370.06549,18079.9898690524,16156.0572618341,0.831119614409854,50219174.7975756,-380561719.268785,695187825.594264
"Male",2010,"South",31360.6317600091,25639.0362118181,31557.3522077866,35429.0112392265,-7553.12113012295,11424.7801615628,0.363467269462201,0.841444437838432,30128.294712486,24703.5968033198,30377.8691359351,33960.7217905126,10907.1475637784,-7324.29490920093,907714142.282413,16968.1792914326,14673.7171943704,0.841640141802722,52510739.6717273,-333956933.982206,626267947.97192
