"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8862.72109447077,12094.7898950183,5460.47879142999,20693.5641855654,-2582.04979478391,17815.1351889193,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474251595397337,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8862.72109447077,12094.7898950183,5460.47879142999,20693.5641855654,-2582.04979478391,17815.1351889193,0.895990482151718,0.362485235618749,8999.28813993411,12137.9231239783,5423.62526855834,21513.064159957,18942.4517607925,-2853.01286939387,80987187.0255587,15414.6180655058,7061.19857127025,0.361382971012762,-24290539.4673493,-17101418.3012286,39595229.256981
"Male",1970,"African-American",15629.6633307145,12438.7965819212,22343.5244727226,22299.3212666449,-3697.09606800989,3652.89286193216,0.0854194732933232,0.824136425013532,10441.3793762223,9594.51759670525,14540.2613993174,16407.3588838129,4053.55677619705,-2186.45929170158,109022403.2782,6043.55647373391,5312.17236937283,0.87582053280784,10483781.2719486,-36944199.0094943,82561985.5406535
"Male",1970,"White",15629.6633307145,12438.7965819212,22343.5244727226,22299.3212666449,-3697.09606800989,3652.89286193216,0.914580526706677,0.861400591434251,15833.6252968532,12531.2991743138,23072.3292113275,22849.6154274203,3615.47188091982,-3838.18566482695,250703690.041148,6434.10376993348,7147.11307169933,0.861678261524471,60695.550910806,-79848815.7646333,170915569.827421
"Female",1980,"African-American",11523.2548945988,14147.1820127186,7549.62793719779,19403.1561477673,-3376.7912544928,15230.3194650623,0.116076256256409,0.709432454341993,10986.9987072692,11201.1320481374,7700.01833991345,13790.2039435533,6393.01233511425,-302.826731474418,120714140.593535,11384.7320601861,7900.61175638838,0.628054309942841,10809584.1695608,-44216126.2380086,87307598.5250868
"Female",1980,"White",11523.2548945988,14147.1820127186,7549.62793719779,19403.1561477673,-3376.7912544928,15230.3194650623,0.883923743743591,0.458449217303454,11591.7816734408,14327.2852031343,7529.87877325951,20140.2451591474,16390.8285409787,-3780.46215509087,134369402.364718,19231.2658229167,10385.2768814364,0.457755509310409,-15259711.6705778,-42971012.2225848,76138678.4715645
"Male",1980,"African-American",21517.1539635586,15271.8175282237,21719.2320116538,21125.9016521907,-5070.1724193,4476.84205983687,0.0895902138552913,0.86113039463362,16497.6175500735,12610.5394740257,15268.9583422413,16749.7993290445,4507.50234202052,-3026.66135521739,272171384.828494,7279.52029872561,8828.543202033,0.877067070477333,20037800.8525391,-113056296.706516,179152888.974518
"Male",1980,"White",21517.1539635586,15271.8175282237,21719.2320116538,21125.9016521907,-5070.1724193,4476.84205983687,0.910409786144709,0.881451496454267,21846.6023639482,15442.272843285,22353.9806778726,21556.5384368012,4473.82488967954,-5271.26713075087,477274034.848469,7761.21025587937,10992.2369091587,0.881546873773296,15058440.7146769,-194964945.911221,297367529.651985
"Female",1990,"African-American",15883.6095769271,18983.5808146375,13130.0629255893,26739.9036346753,-5257.8909965438,18867.7317056297,0.127546360236551,0.710254920089335,14191.9374946738,15117.718264364,12105.8606886061,18746.2591341156,8198.7359650469,-1558.3375195374,201411089.852729,13973.3300311838,9458.47374485322,0.659895955782915,14197199.945626,-63223300.7707744,152384989.02758
"Female",1990,"White",15883.6095769271,18983.5808146375,13130.0629255893,26739.9036346753,-5257.8909965438,18867.7317056297,0.872453639763449,0.503060452871985,16110.7244790799,19207.9839359901,13279.7938241947,27908.5161713227,20427.4610850149,-5798.73873788692,259555443.240824,22432.6625155397,12001.6878557476,0.502674669890726,-22085316.8773897,-81795786.8412945,155674339.522148
"Male",1990,"African-American",24282.9237873805,19886.0680793455,27866.8175786231,28995.3938653237,-7151.51646498127,8280.09275168192,0.0957929346097795,0.829192594652398,19081.2594818134,16321.3500056149,19710.8165800575,22576.4410196669,7725.97580738267,-4860.35136777321,364094463.412294,10978.0986318258,9981.66970099545,0.853413774292766,26529824.6624879,-132387250.790976,258237037.283805
