"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8849.06799518363,12094.1531101294,5459.91104095302,20695.8251902922,-2591.25391753603,17827.1680668753,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474138194452659,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8849.06799518363,12094.1531101294,5459.91104095302,20695.8251902922,-2591.25391753603,17827.1680668753,0.895990482151718,0.360019020158548,8984.2778027202,12137.0445262568,5422.99161174137,21515.5876295383,18955.8814547409,-2863.28543694393,80717247.6364509,15568.7727074478,7165.8270878908,0.358920653772922,-24185852.2305189,-17273992.6967422,39257402.7091902
"Male",1970,"African-American",15785.621388104,12449.9470110504,22356.5202673822,22302.1089654599,-3707.92085456969,3653.50955264746,0.0854194732933232,0.822950670565342,10408.4992316418,9559.28198733261,14537.409646849,16404.5071313444,4053.55677619705,-2186.45929170158,108336856.255088,6043.55647373391,5312.17236937283,0.875351719788514,10495343.425878,-36950435.55194,81881764.1290251
"Male",1970,"White",15785.621388104,12449.9470110504,22356.5202673822,22302.1089654599,-3707.92085456969,3653.50955264746,0.914580526706677,0.861750914305166,16003.1089281959,12545.6419141922,23086.8051262051,22852.9298365077,3616.14616896476,-3850.02145866216,256099495.367703,6453.12321342661,7264.74843783503,0.86202607505235,168612.088557512,-83255001.9129603,173013105.543291
"Female",1980,"African-American",11936.528448132,14306.1169014999,7623.14986004226,19456.9170823996,-3432.02430370487,15265.7915260622,0.116076256256409,0.698277297491394,11205.7289564901,11409.9179803629,7789.38989918492,13879.6359502391,6498.63524430512,-408.389193250997,125568361.44632,11945.7909643134,8058.5411921405,0.620748626261586,9720409.33390655,-46009515.5918492,89279255.1883761
"Female",1980,"White",11936.528448132,14306.1169014999,7623.14986004226,19456.9170823996,-3432.02430370487,15265.7915260622,0.883923743743591,0.470861023297355,12029.1225428472,14485.3934496555,7601.31933278222,20189.3217932051,16417.0884409875,-3829.08598056455,144699789.150836,19273.9885783206,10429.5564250149,0.470167874253047,-16183201.6038258,-46470667.9312642,82045919.6157535
"Male",1980,"African-American",21883.1804955881,15495.1886084437,21835.4263616978,21192.7034678429,-5119.23369020311,4476.51079634823,0.0895902138552913,0.871351218038876,18292.9833943549,13114.6886105578,15622.3063615968,16913.8493517751,4492.90949332017,-3201.36650314195,334633241.466145,7116.88973788901,9647.52645556457,0.884123397327284,19231367.6514411,-144821543.299175,209043065.818413
"Male",1980,"White",21883.1804955881,15495.1886084437,21835.4263616978,21192.7034678429,-5119.23369020311,4476.51079634823,0.910409786144709,0.87933870240064,22111.1314212559,15646.9648901892,22446.8375723295,21613.7703996226,4474.89705845676,-5307.96423116365,488902132.728052,7756.7026806936,11175.948558747,0.879428182547036,15050909.9745152,-199726387.832776,304226654.869849
"Female",1990,"African-American",15984.8538040799,19102.1542716967,13106.8882198937,26676.2419023302,-5234.74299741136,18804.0966798478,0.127484185263106,0.661515768875224,14014.0086486932,16165.626047792,11988.64565884,18787.5207289089,8318.93900410495,-1520.06393403602,196392438.405648,14397.370900653,10733.2786788056,0.627501642028506,13869885.9375042,-60399086.8030302,149863237.540122
"Female",1990,"White",15984.8538040799,19102.1542716967,13106.8882198937,26676.2419023302,-5234.74299741136,18804.0966798478,0.872515814736894,0.503811985191884,16246.5005339824,19225.1985614925,13270.2757934078,27828.8710863235,20336.0938781454,-5777.4985852297,263948779.60069,22406.0366107323,11937.623161517,0.503485343483472,-24314759.0597795,-82272277.357082,157361743.18383
"Male",1990,"African-American",24040.6584477759,19797.065336486,27761.8551427552,28918.4342330124,-7112.78769003679,8269.36678029393,0.0957900739895604,0.785562297348753,19094.7683879133,17092.7855470134,19950.0947838929,22686.7144927089,7585.13714568635,-4848.51743687041,364610179.788055,10443.8953742801,11441.8217353029,0.812790282770211,25629631.1336558,-133845803.566476,256394007.355233
"Male",1990,"White",24040.6584477759,19797.065336486,27761.8551427552,28918.4342330124,-7112.78769003679,8269.36678029393,0.904209926010439,0.853412358190295,24360.0763247062,19948.6614174509,28589.4163995374,29578.6093514604,8341.85261067416,-7352.65965875112,593413318.545511,11984.8149020929,11651.7092332074,0.853576650295958,18944262.7307766,-197641065.193341,414716516.082976
"Female",2000,"African-American",20758.6633512138,22177.5853941125,17250.8664679557,32045.1119800659,-6843.46664725631,21637.7121593665,0.137349877674551,0.700006343291357,19395.5170492943,19795.3975455989,16559.3822700657,24143.3477810592,10223.2383367271,-2639.27282573371,376186081.609465,18718.4077704376,13005.5989440743,0.662916841811125,17018056.394911,-124442323.133339,268761814.871038
"Female",2000,"White",20758.6633512138,22177.5853941125,17250.8664679557,32045.1119800659,-6843.46664725631,21637.7121593665,0.862650122325449,0.549745397029581,20965.6005172571,22276.6434422596,17360.9635600862,33303.2191988084,23455.1078133921,-7512.85217466991,439556405.049213,27316.4209027787,17069.796288047,0.549159278195242,-18134447.6662945,-164667103.969119,256754853.413799
"Male",2000,"African-American",29687.9541248779,22699.2856602091,32345.2856302775,34370.4635940191,-8945.26869512125,10970.4466588629,0.104584851254651,0.793254771905472,25211.8997976483,20386.4519640475,25085.9836117086,28985.5316354047,9774.72732013312,-5875.17929643705,635639891.406661,13998.6254447607,14424.6900791154,0.807672539500346,29172281.7522649,-257094146.164587,407718026.99434
"Male",2000,"White",29687.9541248779,22699.2856602091,32345.2856302775,34370.4635940191,-8945.26869512125,10970.4466588629,0.895415148745349,0.80335415787088,30053.5569944899,22871.8851907924,33193.1750398865,34999.4258231005,11110.1071608753,-9303.85637766132,903216288.021051,16362.7210433777,17462.136060905,0.803506401816074,35190755.3910274,-386196253.203946,552210790.208134
"Female",2010,"African-American",22879.3352355355,24875.2125657333,17987.4086364102,32754.0903030962,-5465.78527045559,20232.4669371415,0.146360309165662,0.727177238418426,20922.627478551,20836.0682919039,16850.273887344,23968.164663976,8674.83024341503,-1556.93946678303,437756340.606217,17828.5467593987,12377.6047372486,0.690139954927147,13413505.5499635,-134160350.444461,317009495.711719
"Female",2010,"White",22879.3352355355,24875.2125657333,17987.4086364102,32754.0903030962,-5465.78527045559,20232.4669371415,0.853639690834338,0.607045593875808,23192.8045603686,25197.9232292932,18182.3754300392,34260.4762018016,22214.0749831133,-6135.97421135084,537906183.375453,27648.1525184331,15504.5852777659,0.606443948700843,3323176.33740781,-186465535.340704,354763824.372148
"Male",2010,"African-American",30836.7570962858,25314.2835980881,31275.6634222293,35299.715511967,-7392.1134165253,11416.165506263,0.109321312178967,0.80892316046448,26027.4196584469,21487.7445687787,23409.3346686657,28634.7440294954,9783.5939578224,-4558.18459699263,677426574.076906,15223.1417845606,12916.324475491,0.825280666153574,21426514.1309646,-246446191.064072,452406897.143799
"Male",2010,"White",30836.7570962858,25314.2835980881,31275.6634222293,35299.715511967,-7392.1134165253,11416.165506263,0.890678687821033,0.829270843239326,31240.3064426758,25625.7833760594,32241.1714029743,36117.7696970085,11616.5462567424,-7739.9479627083,975956746.632292,17757.1249750158,15620.2441257073,0.829438694769942,46994983.8217307,-359072882.073788,663878848.380234
