"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8840.79520032395,12080.7478852697,5459.54652409337,20694.5080800066,-2590.19162063976,17825.153176553,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474145993984124,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8840.79520032395,12080.7478852697,5459.54652409337,20694.5080800066,-2590.19162063976,17825.153176553,0.895990482151718,0.359194599796029,8975.18158706713,12122.2345313613,5422.58478056747,21514.1176247649,18953.6326693325,-2862.09982513506,80553884.5208288,15544.8243904257,7151.54528134632,0.358095531795203,-24241423.8937169,-17232355.3526218,39080105.2744907
"Male",1970,"African-American",15789.4193751014,12452.9807461123,22356.534243112,22302.1018703505,-3707.90062143311,3653.46824867162,0.0854194732933232,0.822663229084542,10400.5751285353,9550.80356069163,14536.641290251,16403.7387747465,4053.55677619705,-2186.45929170158,108171963.004308,6043.55647373391,5312.17236937283,0.875231191804263,10498458.6532185,-36952115.8831011,81718305.7744239
"Male",1970,"White",15789.4193751014,12452.9807461123,22356.534243112,22302.1018703505,-3707.90062143311,3653.46824867162,0.914580526706677,0.861881635460914,16007.6471019405,12549.4999410674,23086.892169766,22852.993841267,3616.10100730361,-3849.99933580257,256244765.740265,6451.90638659861,7257.44573065942,0.86215643569372,89161.3198811719,-83192278.0672717,173141648.992869
"Female",1980,"African-American",11552.348575092,14213.8659204963,7583.61861972579,19456.5582757225,-3379.67939318392,15252.6190491807,0.116076256256409,0.723309354788002,11709.7190108107,11614.7553907415,7840.79445452073,13921.9061569736,6382.14690911696,-301.035206664091,137117519.312143,11318.2206871959,8033.98114222357,0.643351812571206,9292243.4621234,-48035696.4053097,98374066.3689566
"Female",1980,"White",11552.348575092,14213.8659204963,7583.61861972579,19456.5582757225,-3379.67939318392,15252.6190491807,0.883923743743591,0.454521188177127,11531.2025145681,14363.1899876165,7549.84646651246,20183.3649738944,16417.4833313467,-3783.96482396475,132968631.431981,19324.284436658,10440.3892110136,0.453790417155661,-15735575.22717,-41953051.4537586,75280004.7510625
"Male",1980,"African-American",21773.1188319494,15307.0511066323,21804.8795018782,21180.115420556,-5097.12916664628,4472.36508532408,0.0895902138552913,0.847717914211362,16331.5180143745,12390.9486390581,15178.3700689406,16709.9771564152,4478.80673148351,-2947.19964400891,266718480.653838,7116.47265020261,9037.37849117976,0.866498745495345,19628778.5880778,-114800518.193579,171546741.048339
"Male",1980,"White",21773.1188319494,15307.0511066323,21804.8795018782,21180.115420556,-5097.12916664628,4472.36508532408,0.910409786144709,0.883379407088799,22129.9039959426,15495.0785093126,22456.9709075791,21620.0059502294,4471.73118566066,-5308.69614301034,489732650.869638,7668.7982010579,11126.4262870056,0.883476371519933,14726694.1709611,-201544482.963048,302914862.077617
"Female",1990,"African-American",16018.4091847845,18956.7036605575,13095.413665958,26697.1792161789,-5229.6778498216,18831.4434000426,0.127546300948288,0.690591759884563,14324.5090701997,15557.5159544567,12059.6265183372,18839.2492972657,8354.2901511663,-1574.6673722378,205191560.102233,14647.2975902681,9601.35653645778,0.647329067794619,11129237.0238446,-62419814.1043169,153900983.021759
"Female",1990,"White",16018.4091847845,18956.7036605575,13095.413665958,26697.1792161789,-5229.6778498216,18831.4434000426,0.872453699051712,0.506260322201195,16245.8580687566,19135.4722721397,13246.838113344,27845.9506585576,20363.1259899782,-5764.01344476464,263927904.390183,22191.101617595,11946.0758935215,0.50588706583993,-23594324.3363138,-82951336.8215935,157382243.232277
"Male",1990,"African-American",23904.1851795521,19682.5671130331,27803.0833510954,28941.6274531797,-7094.02758258299,8232.57168466732,0.0957725283293684,0.845381641516648,20092.7095453006,16887.4394851228,20214.9831293119,22816.1291182051,7502.42780452829,-4901.28181563501,403716976.871813,10434.8295486206,10070.179562284,0.863939295822985,24322636.5922378,-141189435.020546,286850178.443508
"Male",1990,"White",23904.1851795521,19682.5671130331,27803.0833510954,28941.6274531797,-7094.02758258299,8232.57168466732,0.904227471670632,0.850374721203082,24133.717907388,19845.4399280571,28606.7876912369,29590.4182510682,8309.90590380571,-7326.2753439744,582436340.033382,11899.1573814164,11696.6840031553,0.850537289122412,20038018.8272612,-195192276.669511,407282082.191167
"Female",2000,"African-American",21101.6789121479,22264.3554687497,17342.1815641877,32085.1246151444,-6942.75685030342,21685.69990126,0.137502627569944,0.690258375158305,19429.1844118744,19432.4018989436,16613.1975174383,24217.8823645574,10288.68543884,-2684.00059172091,377493206.910621,18990.1720854415,13067.3541975358,0.653428864907699,11182572.291183,-128064781.341303,260610997.8605
"Female",2000,"White",21101.6789121479,22264.3554687497,17342.1815641877,32085.1246151444,-6942.75685030342,21685.69990126,0.862497372430056,0.558444158832952,21354.0912678898,22429.7565495709,17458.3989870909,33339.3504432615,23502.6555061451,-7621.70404997449,455997213.87737,27519.2673074916,17145.8154606636,0.557868705974855,-17063084.9061031,-171457767.307452,267476361.663813
"Male",2000,"African-American",29906.3578020816,22825.5216995608,32362.1093905544,34409.8301114953,-9004.24475690291,11051.9654778437,0.104577617697931,0.799282880090184,26225.4537261365,20767.7742113947,25323.2460059519,29068.8256784363,9731.83577637661,-5986.25610389219,687774423.141729,14190.6095535652,14791.4543562496,0.812200475938024,24787375.9451065,-277236933.098639,435324865.988198
"Male",2000,"White",29906.3578020816,22825.5216995608,32362.1093905544,34409.8301114953,-9004.24475690291,11051.9654778437,0.895422382302069,0.801180530538617,30200.5573891984,22973.2360119657,33184.1879744854,35033.6134016643,11206.145250385,-9356.71982320606,912073666.618268,16695.2743959723,17593.1180046496,0.801327372569641,36851405.0528761,-393062388.156608,555862683.514535
"Female",2010,"African-American",23185.6842829668,25068.7333142122,18035.8266070318,32840.2527686969,-5535.8734045884,20340.2995662534,0.146482326634849,0.729856612185068,21145.4983936323,20806.4468902003,16946.7905400779,24078.4509282298,8776.70685771618,-1645.04646956425,447132102.315106,18071.6888752783,12144.0905406013,0.691716172904537,14716758.1962479,-140739182.615457,321109677.895897
"Female",2010,"White",23185.6842829668,25068.7333142122,18035.8266070318,32840.2527686969,-5535.8734045884,20340.2995662534,0.853517673365151,0.610059415039178,23513.1186541097,25427.7342867102,18222.7290483694,34343.9698669555,22324.8653427604,-6203.62452417424,552866748.842241,28064.6755973996,15542.8789792306,0.609445451771691,3479654.83939474,-191600826.934065,364745576.747547
"Male",2010,"African-American",31334.4426390895,25548.4395707063,31480.7196321608,35407.4452967183,-7458.89633474977,11385.6219993072,0.109356768296577,0.809857755358892,26536.0046948883,21973.7820432009,23746.6284071097,28938.9420079186,9850.46105546021,-4658.14745465135,704159545.167131,15487.5951706232,13283.7663694396,0.824881258339779,22688445.3271525,-254622862.225191,472225128.269097
"Male",2010,"White",31334.4426390895,25548.4395707063,31480.7196321608,35407.4452967183,-7458.89633474977,11385.6219993072,0.890643231703423,0.835266411375854,31744.4304475293,25842.2296903952,32430.3425473487,36201.6742204883,11574.1152518895,-7802.78357874986,1007708864.43802,17805.793075532,15730.3746787016,0.835417449262345,49730250.462644,-372230934.545979,685208180.354669
