"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8850.04665432794,12053.5640747674,5463.76735637473,20678.5797579254,-2578.44222796462,17793.2546295153,0.701814799576631,0.366147048388263,9161.30766903096,12061.6647951655,5554.55328034714,21471.751547675,18595.3725545845,-2678.17428725664,83929558.2066455,15468.8381421901,7140.29175727749,0.365990216348766,-25018194.1525875,-18451887.3944065,40459476.6596533
"Female",1970,"South",8850.04665432794,12053.5640747674,5463.76735637473,20678.5797579254,-2578.44222796462,17793.2546295153,0.298185200423369,0.381731592436906,8066.40667010894,11826.6644943801,5250.09174488694,18811.7543760399,15905.3734401738,-2343.71080902088,65066916.5675779,14651.689777416,6581.23956659936,0.381059501116627,-13644114.5686838,-15006109.9190387,36416692.0798557
"Male",1970,"Not South",15689.3258568628,12424.7421464768,22312.4119401982,22273.3699620764,-3692.66679778829,3653.6248196665,0.708512918311131,0.859658178889928,15689.9782251354,12385.2943850895,23215.009809421,22991.4472764549,3586.2618031726,-3809.82433613868,246175416.705224,6487.45435618796,7152.8908722426,0.860124631026382,903811.417271532,-80026153.1854322,167053074.937048
"Male",1970,"South",15689.3258568628,12424.7421464768,22312.4119401982,22273.3699620764,-3692.66679778829,3653.6248196665,0.291487081688869,0.865407037708318,15470.1429335939,12347.5490095595,20118.4819496163,20527.9510891867,3817.36301048372,-3407.89387091332,239325322.385824,6265.5612837536,6843.51430669696,0.8680522434141,770250.5835839,-74786950.2290777,165308622.740327
"Female",1980,"Not South",11741.9008524572,14232.8851787961,7587.78499876505,19403.6865467384,-3360.25690846663,15176.15845644,0.673520993817065,0.483322692664733,12155.4332881657,14485.5252624084,7739.02282122688,19832.1652125163,15493.0507194021,-3399.90832811261,147754558.423046,18952.5902151309,10557.6389307305,0.483441841779632,-14836016.8324721,-47816127.7903766,85102413.8002006
"Female",1980,"South",11741.9008524572,14232.8851787961,7587.78499876505,19403.6865467384,-3360.25690846663,15176.15845644,0.326479006182935,0.482213477300181,10832.6528785176,13654.8842977033,7275.7837779878,18519.7418785092,14522.4147613137,-3278.45666079235,117346368.386456,17789.5045271927,9567.3246644349,0.482866644560778,-7572467.41077817,-38445548.051479,71328352.9241959
"Male",1980,"Not South",21619.7296303432,15340.1311103886,21708.9594519929,21115.9984196238,-5065.2116912978,4472.25065892868,0.676485249253655,0.878004571726985,22050.4975773076,15637.1527899809,22252.7354013766,21525.4256773805,4404.20244117157,-5131.51216516771,486224443.406849,7757.98172924249,11268.1915100436,0.878082276920242,16980818.5835582,-200463139.88028,302742122.11013
"Male",1980,"South",21619.7296303432,15340.1311103886,21708.9594519929,21115.9984196238,-5065.2116912978,4472.25065892868,0.323514750746345,0.883628854411378,20644.3161360485,14663.1482395781,20571.8972073554,20259.8658943655,4614.54282781583,-4926.57414080573,426187788.725113,7566.1843779416,10230.0514609687,0.88399710193103,13418685.2791614,-172122593.391335,267483880.612927
"Female",1990,"Not South",15869.8838290998,18979.6948191817,13052.1954652184,26682.1759063774,-5263.51832343812,18893.4987645971,0.658095045684516,0.519856533629162,16472.2549199662,19311.706536789,13466.5222827882,27615.2123346154,19663.7446670978,-5515.05461527062,271335182.148349,22557.1901340956,11928.8250647077,0.520300130460733,-20316120.5583219,-85648875.7304532,165370185.85958
"Female",1990,"South",15869.8838290998,18979.6948191817,13052.1954652184,26682.1759063774,-5263.51832343812,18893.4987645971,0.341904954315484,0.51112044156356,14608.1629653063,18189.9148198201,12254.7035818883,24886.2772418028,17410.9375849578,-4779.3639250433,213398425.220945,20802.8876615116,11273.68189519,0.513247065465364,-8509452.57038216,-69073415.1223143,135815557.528247
"Male",1990,"Not South",24145.8944857325,19780.0843788357,27813.358192274,28953.6224463586,-7125.05140609432,8265.31566017896,0.665600291386734,0.856280926681527,24794.8616525368,20210.9516017321,28866.5594934109,29830.0144569682,8353.53665965825,-7390.08169610098,614785164.368442,12193.444343228,11843.1696982957,0.856544824949014,22112937.8752827,-207791969.088853,429106133.154892
"Male",1990,"South",24145.8944857325,19780.0843788357,27813.358192274,28953.6224463586,-7125.05140609432,8265.31566017896,0.334399708613266,0.847930095182073,22654.6025764517,18772.3664109936,25717.0313269406,27209.2226678727,8089.71765142665,-6597.52631049458,513231017.896973,11305.074115292,11055.2315019847,0.849226544254637,19695982.5069885,-172318865.169335,360608135.234629
"Female",2000,"Not South",21043.0245472232,22406.9878540542,17249.2173358282,32075.2456211564,-6941.63470349633,21767.6629888246,0.647967218247773,0.558786519350286,21572.9281788672,22649.3888559716,17625.9443579933,32753.1818864208,22328.4264328892,-7201.18890446173,465391230.210564,27330.7524892654,17317.4512006032,0.558973618700003,-15390975.4115853,-176969540.107531,273030714.691447
"Female",2000,"South",21043.0245472232,22406.9878540542,17249.2173358282,32075.2456211564,-6941.63470349633,21767.6629888246,0.352032781752227,0.570580143993605,20012.9618050321,21899.495726177,16555.7967987519,30827.4059348462,20735.4968162965,-6463.88768020222,400518640.209675,26331.7750251742,16107.3835875893,0.571284429420755,-10132995.7245131,-140315332.824117,250070311.661044
"Male",2000,"Not South",30056.8303486291,22882.5457366271,32396.1580646801,34355.5284046332,-9015.94017655371,10975.3105165068,0.656028693551218,0.802360975609427,30713.1688456155,23273.2410903584,33177.2657950635,35006.5503430266,11079.0184425465,-9249.73389458341,943298740.539288,16507.3170089661,17856.586751532,0.802498896516307,33390675.3832535,-403165815.847196,573523600.075374
"Male",2000,"South",30056.8303486291,22882.5457366271,32396.1580646801,34355.5284046332,-9015.94017655371,10975.3105165068,0.343971306448783,0.800966452499322,28705.4042063788,22065.6350069012,30906.4143730432,33113.8868382865,10777.5167646584,-8570.04429941507,824000230.651589,15735.4942287373,16594.4552524917,0.80153840814872,33528696.1487358,-350194395.3602,507334531.440129
"Female",2010,"Not South",23168.0146238238,25066.7085933909,18038.3963350079,32896.6170407474,-5632.47522618294,20490.6959319224,0.624843029348656,0.626907080476672,23922.6841993936,25498.4313000616,18546.4411556272,33905.6367245883,21206.6895711965,-5847.49400223545,572294819.303915,27496.2587156906,15774.7693787463,0.627115140425628,11325044.1099947,-201212236.908163,382407626.505728
"Female",2010,"South",23168.0146238238,25066.7085933909,18038.3963350079,32896.6170407474,-5632.47522618294,20490.6959319224,0.375156970651344,0.609411168994896,21827.4455355631,24237.9968591491,17192.2218278156,31216.0434002553,19298.1720830876,-5274.35051064793,476437378.607973,26563.8334872847,14276.9717512978,0.610174740503906,6823243.4346942,-160849475.816121,322411146.226548
"Male",2010,"Not South",31270.9142950638,25643.2259714914,31449.3915918934,35402.4128834939,-7480.62802748617,11433.6493190867,0.636521292469145,0.830816021710158,32134.8220666458,26200.7323524581,32177.5765825852,36284.183274028,11761.3547694448,-7654.74807800201,1032646789.25498,18048.7578149336,16104.095983205,0.830894810683303,48703571.161215,-381839932.250992,699510428.165182
"Male",2010,"South",31270.9142950638,25643.2259714914,31449.3915918934,35402.4128834939,-7480.62802748617,11433.6493190867,0.363478707530855,0.835967467400201,29655.1243115435,24560.901156242,30174.1992853607,33858.2629318875,10859.7738967048,-7175.71025017804,879426397.933097,16810.6637117872,14528.626778128,0.836245570834156,48050342.1187671,-318594337.01967,608882403.032187
