"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8822.70385861227,12085.8396023005,5458.66183487745,20694.9718951499,-2586.55496098846,17822.8650212609,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474058343831398,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8822.70385861227,12085.8396023005,5458.66183487745,20694.9718951499,-2586.55496098846,17822.8650212609,0.895990482151718,0.357789778220577,8955.28666485538,12127.8627583608,5421.59739372181,21514.6352810934,18951.0788974592,-2858.04101008765,80197159.2497366,15510.3200128897,7120.80091737973,0.356693258858125,-24229419.2269797,-17108733.3196212,38859006.703135
"Male",1970,"African-American",15716.1063352738,12448.6964524402,22351.5992284672,22301.8222480872,-3702.53142120661,3652.75444082658,0.0854194732933232,0.822957118916015,10408.6772008185,9559.47247962119,14537.4264717177,16404.5239562131,4053.55677619705,-2186.45929170158,108340561.070838,6043.55647373391,5312.17236937283,0.875351057247239,10495275.2110788,-36950398.7573693,81885437.5245465
"Male",1970,"White",15716.1063352738,12448.6964524402,22351.5992284672,22301.8222480872,-3702.53142120661,3652.75444082658,0.914580526706677,0.861813320134526,15928.3602148566,12544.2859971269,23081.4229034892,22852.6147690689,3615.32053163834,-3844.12866605866,253712659.134228,6430.13207293656,7204.61764380385,0.862089205318934,105117.766898479,-81618938.4151285,172198838.485988
"Female",1980,"African-American",12103.869641052,14438.650769,7657.10253702048,19492.4746027454,-3408.22752551014,15243.5995912351,0.116076256256409,0.725086401670145,12180.3013095931,11827.9991747413,7930.07378011383,13997.1035658375,6446.90823712693,-379.878451403296,148359739.992476,11661.3815307208,8207.79824180237,0.64796445021986,8527897.73106788,-52425459.4238936,104462178.29965
"Female",1980,"White",12103.869641052,14438.650769,7657.10253702048,19492.4746027454,-3408.22752551014,15243.5995912351,0.883923743743591,0.469830040946801,12093.4479387947,14594.3706084261,7621.25614168581,20214.1229363478,16398.7750314869,-3805.90823682481,146251483.048338,19267.1663621122,10532.5662853717,0.469108261966412,-16957488.398354,-46370749.0457666,82923245.6042251
"Male",1980,"African-American",21602.6722321999,15351.1001762136,21748.3879096192,21129.2450910503,-5083.18461916567,4464.04180059672,0.0895902138552913,0.864221506479974,16842.9028861029,12527.0437740742,15429.0106950881,16746.1458885883,4462.86578081859,-3145.73058731838,283683377.630693,7034.69747145666,8971.48292768488,0.879760550281906,19545267.9707258,-120885010.134042,182343635.467377
"Male",1980,"White",21602.6722321999,15351.1001762136,21748.3879096192,21129.2450910503,-5083.18461916567,4464.04180059672,0.910409786144709,0.881578763306389,21917.4015191892,15534.8143549863,22370.2555176989,21560.5704138595,4464.15752855244,-5273.84263239182,480372489.353358,7685.71949568881,11022.3296651024,0.881671819219215,15019065.0879832,-195229180.65256,300162373.788841
"Female",1990,"African-American",16159.8226491997,19183.895222292,13179.544719991,26838.5661569078,-5306.93491421018,18965.956351127,0.127524149061906,0.714770373737187,14787.5045353022,15785.8162085996,12066.4968359391,18744.492828059,8222.99467204856,-1544.99867992868,218670290.381583,14177.4133042985,9629.04764068395,0.668481462130262,12682781.8278414,-64502201.9411615,166850870.268261
"Female",1990,"White",16159.8226491997,19183.895222292,13179.544719991,26838.5661569078,-5306.93491421018,18965.956351127,0.872475850938094,0.502056313640868,16344.5505769847,19349.9389180452,13342.2317263148,28021.6244760536,20536.1855386238,-5856.79278888496,267144333.56361,22641.9159816993,12005.1320792622,0.501703134843643,-24327943.0291476,-84033020.6770207,158783369.85745
"Male",1990,"African-American",24411.4153835107,20056.2751111896,28043.7147539531,29157.8524235454,-7191.54299960776,8305.68066920009,0.0957510850912062,0.820285668040975,19140.8074741735,16317.7021567511,19849.9740363681,22640.768022845,7640.30053453429,-4849.50654805735,366370510.763374,11014.2726534225,10161.4069579335,0.846275993050837,25419084.3544698,-135586495.046559,256203100.071285
"Male",1990,"White",24411.4153835107,20056.2751111896,28043.7147539531,29157.8524235454,-7191.54299960776,8305.68066920009,0.904248914908794,0.851536338116187,24746.1214464341,20290.0564303003,28911.351476242,29847.947697877,8376.13789490637,-7439.54167327134,612370526.641665,12033.9480527185,11955.6264473946,0.851712704251954,19089948.1679347,-203903908.640993,427556566.168625
