"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8821.15105283654,12088.6370419047,5458.58886427024,20694.4893124802,-2587.9943472565,17823.8947954664,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474066282601773,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8821.15105283654,12088.6370419047,5458.58886427024,20694.4893124802,-2587.9943472565,17823.8947954664,0.895990482151718,0.358127249236704,8953.57890952253,12131.010473518,5421.51595244686,21514.0966786424,18952.2282112366,-2859.64748504102,80166575.2890467,15565.0037753903,7155.31088120454,0.357030462881521,-24219335.4927105,-17048904.987768,38898334.8085693
"Male",1970,"African-American",15792.1999140169,12454.6370130996,22354.4350128894,22301.4527386331,-3705.34730579034,3652.36503153409,0.0854194732933232,0.821763096956153,10375.8707632847,9524.42524207645,14533.9380737505,16401.0355582459,4053.55677619705,-2186.45929170158,107658694.096387,6043.55647373391,5312.17236937283,0.874850485729142,10509418.5824655,-36958027.5898963,81210085.088955
"Male",1970,"White",15792.1999140169,12454.6370130996,22354.4350128894,22301.4527386331,-3705.34730579034,3652.36503153409,0.914580526706677,0.862102702520213,16012.1124639925,12553.070004921,23084.8493503111,22852.5365557951,3614.89475251761,-3847.2075470336,256387745.559545,6419.48582714375,7255.57854993618,0.862377040345056,118250.428802649,-83222345.2534134,173283650.734927
"Female",1980,"African-American",11992.2231906046,14306.3912752903,7626.92690354863,19445.9008442382,-3406.69447230323,15225.6684129928,0.116076256256409,0.718728601970826,11103.2422382136,11109.6335174308,7776.62449009659,13784.467123401,6333.29087611165,-325.448242807254,123281988.20045,10945.9197330067,7613.21147796295,0.634184460141018,8471286.03664091,-43095979.4096069,88657294.8274837
"Female",1980,"White",11992.2231906046,14306.3912752903,7626.92690354863,19445.9008442382,-3406.69447230323,15225.6684129928,0.883923743743591,0.477725484019909,12104.0692734679,14511.4749762538,7607.26871975156,20189.3564149364,16393.4092967575,-3811.32160157267,146508492.976909,19174.5909153874,10400.8588163547,0.477016023942413,-17043261.4060843,-45553754.3036198,83911477.267212
"Male",1980,"African-American",21572.6516166859,15188.0980148256,21734.8599425411,21112.3763698011,-5078.58372640572,4456.10015366569,0.0895902138552913,0.86588993217503,16977.7995409364,12344.8120601182,15234.8109875893,16646.3540988563,4461.74731993022,-3050.20420866322,288245677.252221,7058.50978934242,8979.45618959301,0.882057077073798,17800075.3923604,-124565834.751188,181479917.893394
"Male",1980,"White",21572.6516166859,15188.0980148256,21734.8599425411,21112.3763698011,-5078.58372640572,4456.10015366569,0.910409786144709,0.883170740145466,21868.917694045,15369.7511234298,22374.5068189329,21551.8618591111,4455.5444359647,-5278.18939578651,478249561.108913,7592.79754329731,10980.6555429736,0.883268181841635,14791098.8168645,-196189467.690904,296851192.234935
"Female",1990,"African-American",15916.5430770097,18851.4103999598,13096.8624158704,26663.3122771369,-5244.72642918223,18811.1762904488,0.12744018822434,0.695798157871234,14123.1301038965,15226.5998805759,11981.9836174666,18712.1664024386,8316.07972685343,-1585.89694188141,199462803.931586,14219.3702076461,9500.23387981488,0.651279071036953,12448477.7833312,-62281800.5071441,149629481.207772
"Female",1990,"White",15916.5430770097,18851.4103999598,13096.8624158704,26663.3122771369,-5244.72642918223,18811.1762904488,0.87255981177566,0.505590126731781,16155.5204253762,19048.3509216201,13259.6940773776,27824.6028995054,20344.0191551406,-5779.11033301285,261000840.214749,22190.4010194326,11821.1932107691,0.505240817854049,-23727528.953092,-81685016.7046192,155588294.557045
"Male",1990,"African-American",23796.1959990452,19664.9950657959,27767.0538700928,28919.5462335026,-7099.22454311037,8251.71690652018,0.0957973841056652,0.830245982618043,19356.5748896942,16373.9929617606,19960.3209592767,22666.2395491075,7583.33919881196,-4877.42060898116,374676991.46034,10624.8284949053,10082.2002812144,0.852760467200365,25257476.3275623,-136792635.533105,263141832.254799
"Male",1990,"White",23796.1959990452,19664.9950657959,27767.0538700928,28919.5462335026,-7099.22454311037,8251.71690652018,0.904202615894335,0.849064003045023,24071.2303628743,19867.1123030105,28594.1523302406,29582.0641380577,8322.5293935308,-7334.6175857137,579424131.18256,12038.9014335564,11686.2688879241,0.849236321173083,19976299.5477858,-193356087.300262,406044343.43011
"Female",2000,"African-American",21138.7912479466,22372.2684351049,17306.1051458178,32087.4619728821,-6840.50741936697,21621.8642464313,0.137478274154985,0.722736686532899,21334.1922328602,20232.0419384366,16709.6161383174,24276.2664727081,10227.0841387897,-2660.43380439908,455147758.228631,18471.5627833488,13239.5177419215,0.684029998800359,9398255.4710676,-152588090.176353,311957923.523345
"Female",2000,"White",21138.7912479466,22372.2684351049,17306.1051458178,32087.4619728821,-6840.50741936697,21621.8642464313,0.862521725845015,0.547283319140307,21106.1341450123,22445.1537035569,17401.1801762157,33332.4969027547,23438.0906168909,-7506.77389035188,445468898.547255,27349.9395041722,17359.3218420215,0.546687211588773,-18416105.8551361,-167788033.335304,259264759.356803
"Male",2000,"African-American",29523.2925053373,22637.5238144784,32277.2257178347,34374.7775647867,-8926.19460212063,11023.7464490726,0.104748898660906,0.792998401513336,24990.530553448,19895.3435809945,25047.7986606325,28961.7760679987,9770.70058469728,-5856.72317733102,624526617.342818,13947.213098387,14088.2229409965,0.808001857719817,21125226.8925458,-251376852.030919,394274992.204441
"Male",2000,"White",29523.2925053373,22637.5238144784,32277.2257178347,34374.7775647867,-8926.19460212063,11023.7464490726,0.895251101339094,0.794513555169733,29895.1385852797,22853.5153632279,33123.105182332,35008.1260682292,11170.3591413871,-9285.33825548996,893719311.033081,16509.51442323,17631.7023943724,0.79467442933647,34424864.9204015,-385325357.332986,542818818.620498
"Female",2010,"African-American",23143.2320833831,25047.769514591,18016.5965517091,32788.735627203,-5633.89954484512,20406.038620339,0.146292169279747,0.727135312655015,20766.7054642203,20533.3101363504,16815.2311013887,23849.9919857664,8762.95500027646,-1728.19411589872,431256055.837678,18512.0913119242,11695.9937594354,0.688637327114853,11280926.2852593,-132479792.393701,310057189.729236
"Female",2010,"White",23143.2320833831,25047.769514591,18016.5965517091,32788.735627203,-5633.89954484512,20406.038620339,0.853707830720253,0.6125150179247,23520.3837621374,25428.7428298045,18222.4636545994,34320.4870659102,22401.2082774422,-6303.18486613144,553208452.318217,28110.7180165178,15391.8413859016,0.611909613580656,5699636.11335625,-192566659.962326,366341428.469243
"Male",2010,"African-American",31295.0836642721,25676.5264765114,31515.0190525078,35444.9126389623,-7455.33253613016,11385.2261225846,0.109531466591965,0.809136303877067,26054.4016423661,21631.0669995782,23607.3807044956,28711.6314374067,9621.35899359178,-4517.10826068061,678831844.941731,14974.6041525956,13140.7290302367,0.82559278982493,21587702.4790867,-244402862.051396,456016685.369428
"Male",2010,"White",31295.0836642721,25676.5264765114,31515.0190525078,35444.9126389623,-7455.33253613016,11385.2261225846,0.890468533408035,0.832953013119826,31744.6915942959,26010.963146812,32487.6926429173,36273.1352401135,11602.1893798628,-7816.74678266663,1007725444.41696,17788.8249397158,15894.9366806436,0.833115234112934,51370304.1407147,-371318113.457247,687777635.100419
