"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8831.05095013751,12106.2447217131,5458.9941809812,20696.5254162608,-2591.93165293968,17829.4628882193,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474040959559006,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8831.05095013751,12106.2447217131,5458.9941809812,20696.5254162608,-2591.93165293968,17829.4628882193,0.895990482151718,0.357963656893051,8964.46597798722,12150.438647394,5421.96831965279,21516.369140037,18958.4426664833,-2864.04184609911,80361650.2704904,15657.2524206015,7234.41471506912,0.356870441705551,-24140731.0066839,-17230732.4285059,38990186.8353011
"Male",1970,"African-American",15906.8146447356,12472.0550610646,22359.2934314409,22303.3501307223,-3709.00725910918,3653.06395839064,0.0854194732933232,0.823047451676557,10411.1712554975,9562.14234673165,14537.6603876164,16404.7578721118,4053.55677619705,-2186.45929170158,108392486.911297,6043.55647373391,5312.17236937283,0.875407821041163,10494326.8217438,-36949887.2030016,81936926.5300379
"Male",1970,"White",15906.8146447356,12472.0550610646,22359.2934314409,22303.3501307223,-3709.00725910918,3653.06395839064,0.914580526706677,0.860592173578866,16133.5029798696,12569.3781937529,23089.8138781237,22854.2635048753,3615.65895734828,-3851.20933059663,260289918.401461,6440.98753764794,7389.95256788467,0.86086739824145,211059.015668345,-85983125.1940135,174517852.223108
"Female",1980,"African-American",11845.2924378028,14371.4406290227,7605.73302749688,19489.7046128786,-3403.79467852474,15287.7662639064,0.116076256256409,0.708948558563387,11498.4220726561,11874.5612454044,7800.67030897545,14011.1493576603,6500.81789531093,-290.338846626105,132213710.160944,11829.9492010184,8269.92264889452,0.636535599821674,9473967.09706892,-44888750.5625454,96798926.6954678
"Female",1980,"White",11845.2924378028,14371.4406290227,7605.73302749688,19489.7046128786,-3403.79467852474,15287.7662639064,0.883923743743591,0.466651273949818,11889.9536222881,14515.0799344729,7580.13399816998,20209.1447096298,16441.6622620218,-3812.65155056201,141370997.140162,19350.8800391721,10511.8552057572,0.465971445373928,-15981547.5216405,-44853080.1019165,80536369.5166141
"Male",1980,"African-American",21954.6657699893,15404.1184027269,21871.9743070451,21208.7361415685,-5132.0465344247,4468.80836894811,0.0895902138552913,0.86225820104039,16915.7843118135,12638.0054184587,15554.0873539439,16888.1938984811,4455.99917050178,-3121.89262596464,286143758.883794,7044.62610695272,9078.96560786845,0.877512264305465,19807287.1062994,-121615958.306552,184335087.683542
"Male",1980,"White",21954.6657699893,15404.1184027269,21871.9743070451,21208.7361415685,-5132.0465344247,4468.80836894811,0.910409786144709,0.885517585712162,22292.8943105283,15585.429963682,22493.6952637571,21633.9054547941,4470.06887695845,-5329.85868592145,496973136.740385,7711.0777374676,11156.6933629523,0.885604455710904,15045259.635168,-204350320.62433,307668075.751276
"Female",1990,"African-American",16045.3751573821,19040.7287682555,13139.6283917606,26739.8281710775,-5264.09559236102,18864.2953716779,0.12750628382487,0.70941802288714,14386.4733314821,15314.3720246972,12094.7755856439,18762.3448916025,8235.75552272611,-1568.18621676747,206970614.917445,13970.8947131897,9496.74520300013,0.660978622882726,11236310.7002873,-61908085.3491813,156298840.26855
"Female",1990,"White",16045.3751573821,19040.7287682555,13139.6283917606,26739.8281710775,-5264.09559236102,18864.2953716779,0.87249371617513,0.502970975228081,16268.1636032094,19251.0620083235,13292.3232432902,27905.6580543001,20417.5508203995,-5804.21600938972,264653147.020786,22521.4095596132,11950.513058264,0.502596432250394,-24539883.5026965,-82593102.0571811,157520161.46091
"Male",1990,"African-American",24068.6724454955,19827.1832230957,27790.3050484244,28968.6127867299,-7108.07222680091,8286.37996510646,0.0957806054262068,0.821981983655982,20315.8761671678,17103.3919538463,20049.432519525,22816.3513745318,7617.55465150894,-4850.63579650219,412734824.439696,10643.1942940059,10650.04813403,0.84329588640468,22408776.2599431,-149529197.822073,285614402.877568
"Male",1990,"White",24068.6724454955,19827.1832230957,27790.3050484244,28968.6127867299,-7108.07222680091,8286.37996510646,0.904219394573793,0.850651328243581,24288.5718297957,19983.6222654369,28610.2669534602,29620.2990106008,8357.22614894765,-7347.19409180702,589934721.531146,12094.0982224169,11714.9325675289,0.850815011910099,19503962.3675222,-196554948.243608,412883735.655091
"Female",2000,"African-American",20923.3141902067,22450.9179426673,17255.2667606353,32105.2636641835,-6907.438604384,21757.4355079322,0.137484258405688,0.702223032523506,19522.6619755704,19579.0278312152,16500.8371858513,24046.6304614959,10185.9805522496,-2640.18727660509,381134330.612383,18332.2946824124,12860.2091921821,0.663577866283238,14333277.6458406,-127053568.483416,268414039.774804
"Female",2000,"White",20923.3141902067,22450.9179426673,17255.2667606353,32105.2636641835,-6907.438604384,21757.4355079322,0.862515741594312,0.548995673457655,21135.6958417864,22611.7234244047,17375.5221781385,33389.8027817966,23601.9153551245,-7587.6347514664,446717638.716506,27857.5230832866,17231.3532959086,0.548425765121871,-17520640.3139805,-166824000.812383,262372997.590132
"Male",2000,"African-American",30233.0839613356,22918.4902099966,32511.7166125734,34480.6098239232,-9029.78806782423,10998.681279174,0.104916092644363,0.795489322401354,25552.2690743142,20466.4141302798,25162.07591882,28956.18767275,9725.52332067969,-5931.41156674968,652918454.846152,14065.3850413205,14321.990232196,0.810116603922142,23523184.7305031,-260429901.838291,416011737.738362
"Male",2000,"White",30233.0839613356,22918.4902099966,32511.7166125734,34480.6098239232,-9029.78806782423,10998.681279174,0.895083907355638,0.806398232954564,30620.0385176313,23102.7952443891,33373.1951595475,35128.1477602619,11147.912828559,-9392.96022784463,937586758.821227,16464.4382815032,17696.2450700321,0.806550779167171,35771942.9375901,-402905753.309642,570452948.449179
"Female",2010,"African-American",22831.93132419,25009.6863753249,17986.7211618379,32758.0004885356,-5621.06616801642,20392.3454947141,0.146238285043889,0.749707412104951,21876.3350844316,20945.9378876229,16946.771211455,23857.4292757472,8579.76248805093,-1669.1044237587,478574036.726333,17698.1522130534,11997.0902913502,0.707784914299128,15507076.3600165,-150549915.900246,343531197.186099
"Female",2010,"White",22831.93132419,25009.6863753249,17986.7211618379,32758.0004885356,-5621.06616801642,20392.3454947141,0.853761714956111,0.60295497586307,22987.0723030156,25329.5474525499,18164.8510716375,34282.5526525268,22415.6874302585,-6297.98584936922,528405493.064067,28227.7961368003,15360.4389009555,0.60231325249991,6002064.69815897,-183335733.5295,351071824.232721
"Male",2010,"African-American",31391.0429097869,25625.8398233125,31505.1569609893,35406.532947011,-7501.38073824036,11402.7567242621,0.109297431350536,0.810421808019141,26655.4057621538,22090.349507766,23655.1378131593,28760.7175507375,9803.63119701239,-4698.05145943415,710510656.345063,15779.5356993649,13300.3588455634,0.825839187995192,23338750.5495149,-256650978.905854,477198427.988726
"Male",2010,"White",31391.0429097869,25625.8398233125,31505.1569609893,35406.532947011,-7501.38073824036,11402.7567242621,0.890702568649464,0.837911499454599,31790.7448202683,25909.6198697638,32468.4268101055,36222.0358742608,11598.9841953476,-7845.37513119226,1010651456.22742,17675.6978748629,15683.3465819805,0.838065361478758,50716786.3123453,-371192175.954757,690176066.585005
