"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8832.89784039675,12086.9888931432,5462.96976459963,20683.3062721416,-2580.04536695787,17800.3818744999,0.701814799576631,0.363711547758672,9136.96052638696,12103.8012448117,5553.37546626575,21477.755065994,18604.4803144756,-2680.10071474737,83484047.6607535,15546.1910165312,7191.60444431612,0.363560857809929,-24972756.3791316,-18287720.4524008,40223570.8292206
"Female",1970,"South",8832.89784039675,12086.9888931432,5462.96976459963,20683.3062721416,-2580.04536695787,17800.3818744999,0.298185200423369,0.381388464204873,8068.39888369601,11839.0651719897,5250.18905212528,18813.4753072253,15907.8393046801,-2344.55304958009,65099060.5464271,14663.6182152074,6572.2716408874,0.380700674663455,-13652761.3114731,-15015195.8576141,36431103.3773401
"Male",1970,"Not South",15705.688188665,12448.4204323907,22317.1547064641,22277.4021725523,-3692.60038131603,3652.84784740423,0.708512918311131,0.859729832503476,15773.3031091681,12428.6154394432,23225.1788460523,22998.0558176932,3585.12076777291,-3812.24379613207,248797090.973691,6453.81374948784,7209.18380854272,0.860196425231807,973458.065456706,-81228838.8050949,168541710.234035
"Male",1970,"South",15705.688188665,12448.4204323907,22317.1547064641,22277.4021725523,-3692.60038131603,3652.84784740423,0.291487081688869,0.866446374388261,15317.7384707482,12322.2832491813,20110.0351685791,20525.7210542951,3817.47096058046,-3401.78507486447,234633111.858238,6268.43102028345,6715.55552609004,0.869125644283316,806813.464861791,-71898594.8328673,163541330.49023
"Female",1980,"Not South",12096.2758638778,14411.7263247267,7656.29593911072,19449.8259211337,-3400.53878462947,15194.0687666524,0.673520993817065,0.49750035213265,12768.3735068568,14709.0634776286,7852.74911311288,19900.6271590798,15491.509120051,-3443.63107408405,163031362.010602,18996.3137485477,10616.6211446598,0.497679292213219,-17195075.8694319,-52400338.8386834,93435947.3024883
"Female",1980,"South",12096.2758638778,14411.7263247267,7656.29593911072,19449.8259211337,-3400.53878462947,15194.0687666524,0.326479006182935,0.470207612558711,10564.3870347262,13731.7115165574,7251.01616771155,18519.830141787,14580.4540513772,-3311.64007730176,111606273.419491,18234.9330980176,9708.90358461995,0.471378471675129,-7025897.00072721,-36368714.5620524,68211661.8567088
"Male",1980,"Not South",21582.5832956625,15353.2244183359,21671.5292909532,21081.4539840281,-5061.13918618066,4471.06387925549,0.676485249253655,0.878880199035984,21971.1118159842,15648.7185189729,22229.0089272204,21503.8706274363,4406.47777821059,-5131.61607799464,482729754.430481,7772.02439433425,11160.3700424662,0.878961949043905,16347906.9998261,-196901296.077134,302176365.353171
"Male",1980,"South",21582.5832956625,15353.2244183359,21671.5292909532,21081.4539840281,-5061.13918618066,4471.06387925549,0.323514750746345,0.884532356731516,20698.7270589481,14677.3187614795,20505.8119633074,20198.1600147555,4606.11659188418,-4913.76854043602,428437301.860832,7394.87123919782,10300.0823769676,0.884915850904826,14614445.6524099,-174329212.111042,268722535.402185
"Female",1990,"Not South",16162.30289814,19181.3428555267,13151.8804248115,26808.0580432906,-5292.57583557313,18948.7534540522,0.658079636261376,0.520295173771966,16727.7865726793,19544.1234703155,13541.4691321066,27701.7969551989,19676.0201830218,-5515.69235992956,279818843.621108,22667.1192006781,12133.7808337034,0.520674747829699,-20824903.9218827,-88893876.9557598,170100062.743469
"Female",1990,"South",16162.30289814,19181.3428555267,13151.8804248115,26808.0580432906,-5292.57583557313,18948.7534540522,0.341920363738624,0.521442176793328,14985.9973631886,18341.3206855764,12402.0555475069,25087.9166289852,17549.0139965007,-4863.15291502247,224580116.969495,20924.0274949967,11210.3236554244,0.523181618480987,-11057287.4600545,-70197677.1090382,143325152.4004
