"","Men 1970","Men 2010","Women 1970","Women 2010"
"Untransformed, full distribution",0.862500569802383,0.833608080045182,0.36981789202701,0.620035117208887
"Untransformed, excluding top 2%",0.839844531703408,0.806704646532294,0.422296679629111,0.626168004544565
"Log transformed",0.430489376628269,0.447968901524736,0.185630884810928,0.343955475427294
"Rank transformed",0.833860450860915,0.804996133143226,0.296486951406185,0.583314346486579
