"earnings_decile","men_faminc_pctile","women_faminc_pctile"
"No earn",18.2077682200635,44.4963618244823
"1",13.6059136838501,38.2032384631347
"2",23.4612966132061,39.1843237715322
"3",31.5804007505946,42.1682743470302
"4",39.2004488851534,44.2716347113378
"5",46.2688823554034,47.516508978242
"6",53.2070386838456,54.6080841679095
"7",60.940242966912,59.9577083455041
"8",69.1557333364995,65.9651456315279
"9",79.0836122150285,71.8913250454673
"10",91.8270868593142,80.2054511101857
