"sex","self_reliance","year"
"Male",0.816922863333662,1970
"Female",0.248434691995703,1970
"Male",0.807553625967353,1980
"Female",0.276325526733916,1980
"Male",0.812364569604181,1990
"Female",0.430759039007196,1990
"Male",0.782715047283792,2000
"Female",0.496637098594357,2000
"Female",0.564435311232155,2010
"Male",0.79666808832927,2010
