"earnings_decile","men_faminc_pctile","women_faminc_pctile"
"No earn",16.1394420820271,47.6224291026426
"1",13.8727153469095,41.908676274281
"2",24.5570785978976,42.114201583473
"3",33.1574574415261,43.3346049878532
"4",40.7237744449202,44.5558911643336
"5",46.9263920518359,47.4868343724728
"6",53.1646969218897,50.0087206187782
"7",60.5773253787884,54.7956448691679
"8",68.2551517725074,59.4181937428235
"9",78.689210446352,62.7030463092962
"10",91.4099741080574,72.9888466901875
