"sex","self_reliance","year"
"Male",0.839740864580387,1970
"Female",0.41787958566223,1970
"Male",0.839161122555674,1980
"Female",0.445343972960946,1980
"Male",0.837046277432705,1990
"Female",0.557913441367417,1990
"Male",0.809413179746042,2000
"Female",0.59742390830295,2000
"Female",0.637322198568335,2010
"Male",0.814441025118627,2010
