sex,ppn_w_adult_child,decade
Male,0.009352919881725326,1970
Female,0.011014503153183771,1970
Male,0.011266149683405927,1980
Female,0.014924711309277658,1980
Male,0.015717156947133045,1990
Female,0.024386963793564847,1990
Male,0.014414325443522799,2e3
Female,0.02380329381170027,2e3
Female,0.030534447125467788,2010
Male,0.019048498769502775,2010
