"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8858.85777169871,12094.4243947715,5464.2044202731,20684.0107504918,-2584.53810651838,17804.3444367371,0.407880825001165,-0.0139541363742699,1722.67677945812,11856.4222964824,193.556735060931,20321.4500809857,22849.0561753296,-2721.16282940486,2967615.28648422,15408.2299833238,5993.03360734218,-4422588.82868257,1169963.32953236,-285010.212665948
"Female",1970,"Married or cohabiting:Two earners",8858.85777169871,12094.4243947715,5464.2044202731,20684.0107504918,-2584.53810651838,17804.3444367371,0.410776049912379,0.59397318761971,7445.19648586006,11602.4590173862,7996.7918558346,23958.6161584698,20655.178302765,-4693.35400012977,55430950.713063,12938.6741937327,6462.06887178389,19602821.5127688,-23724831.609085,51308940.6167503
"Female",1970,"Married or cohabiting:Zero earners",8858.85777169871,12094.4243947715,5464.2044202731,20684.0107504918,-2584.53810651838,17804.3444367371,0.00831606728870594,NA,0,9871.0076591082,0,8272.96058356834,0,8272.96058356834,0,0,9871.0076591082,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8858.85777169871,12094.4243947715,5464.2044202731,20684.0107504918,-2584.53810651838,17804.3444367371,0.133394032794528,0.846876419831731,13690.336452962,10758.2793940157,15745.5751578931,16536.3250387874,0,790.749880894344,187425312.1953,0,7328.19265779814,NA,-62693572.1527015,124731740.042596
"Female",1970,"Not married or cohabiting:Zero earners",8858.85777169871,12094.4243947715,5464.2044202731,20684.0107504918,-2584.53810651838,17804.3444367371,0.0396330250032216,NA,0,7064.75226988073,0,7039.82695892668,0,7039.82695892668,0,0,7064.75226988073,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",15772.374270215,12448.8458388889,22321.7041589964,22277.5349796654,-3697.76343797581,3653.59425864481,0.442745998994968,0.921606273617333,15406.4469372035,11853.91555189,22841.8459713456,20318.0698459699,194.540255114216,-2718.31638048997,237358607.228867,1727.06187913385,5993.14907485656,-4443658.65915031,-64605016.813619,168309931.756101
"Male",1970,"Married or cohabiting:Two earners",15772.374270215,12448.8458388889,22321.7041589964,22277.5349796654,-3697.76343797581,3653.59425864481,0.445972954330879,0.84024871430579,12935.086979162,11598.2956579113,20647.8444344592,23955.7256788908,7999.27956259594,-4691.39831816437,167316475.158487,7444.49237358152,6459.35257254668,19571499.0124184,-60829691.7744421,126058282.396461
"Male",1970,"Married or cohabiting:Zero earners",15772.374270215,12448.8458388889,22321.7041589964,22277.5349796654,-3697.76343797581,3653.59425864481,0.00904365088469821,NA,0,9861.23692418878,0,8262.76975303103,0,8262.76975303103,0,0,9861.23692418878,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",15772.374270215,12448.8458388889,22321.7041589964,22277.5349796654,-3697.76343797581,3653.59425864481,0.0962698261705002,0.916078726139719,23393.2783249614,15832.8896483577,31164.3656363325,25722.7533882934,0,-5441.6122480391,547245470.789108,0,10923.6228374187,NA,-207945306.033104,339300164.756006
"Male",1970,"Not married or cohabiting:Zero earners",15772.374270215,12448.8458388889,22321.7041589964,22277.5349796654,-3697.76343797581,3653.59425864481,0.00596756961895444,NA,0,10416.8178875062,0,7898.44017110503,0,7898.44017110503,0,0,10416.8178875062,NA,NA,NA
