"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8832.83104874636,12086.8974950596,5462.96976459963,20683.3062721416,-2580.04536695787,17800.3818744999,0.407880825001165,-0.0137677866001427,1722.67677945812,11876.0901525174,193.556735060931,20323.4432188716,22848.1130521843,-2718.2265683737,2967615.28648422,15411.6142424399,6011.53661795624,-4422406.28084099,1173120.46414084,-281670.530215901
"Female",1970,"Married or cohabiting:Two earners",8832.83104874636,12086.8974950596,5462.96976459963,20683.3062721416,-2580.04536695787,17800.3818744999,0.410776049912379,0.594214586639042,7405.70886345334,11583.7672395661,7995.11628828669,23955.9836246825,20646.4682516522,-4685.60091525644,54844523.7702313,12789.4268072825,6336.87449528502,19500041.0841247,-23369267.7386546,50975297.1157048
"Female",1970,"Married or cohabiting:Zero earners",8832.83104874636,12086.8974950596,5462.96976459963,20683.3062721416,-2580.04536695787,17800.3818744999,0.00831606728870594,NA,0,9669.22216574795,0,8250.93512134955,0,8250.93512134955,0,0,9669.22216574795,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8832.83104874636,12086.8974950596,5462.96976459963,20683.3062721416,-2580.04536695787,17800.3818744999,0.133394032794528,0.845179584577133,13634.1357283932,10689.3970932659,15741.4792276379,16533.0665786174,0,791.587350979459,185889657.060247,0,7334.76340614121,NA,-62712600.533397,123177056.526848
"Female",1970,"Not married or cohabiting:Zero earners",8832.83104874636,12086.8974950596,5462.96976459963,20683.3062721416,-2580.04536695787,17800.3818744999,0.0396330250032216,NA,0,7135.75628039611,0,7044.41316257031,0,7044.41316257031,0,0,7135.75628039611,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",15705.5571536026,12448.316573233,22317.1547064641,22277.4021725523,-3692.60038131603,3652.84784740423,0.442745998994968,0.920814384131093,15409.8279517438,11873.5695689552,22840.9037386654,20320.0611020021,194.540255114216,-2715.38289177758,237462797.502345,1727.06187913385,6011.63289905087,-4443475.35695954,-64538223.4621613,168481098.683228
"Male",1970,"Married or cohabiting:Two earners",15705.5571536026,12448.316573233,22317.1547064641,22277.4021725523,-3692.60038131603,3652.84784740423,0.445972954330879,0.84198920817775,12785.9628487942,11579.617704184,20639.1442509699,23953.0961275029,7997.60589329976,-4683.65401676671,163480845.970745,7405.04641790969,6334.24541749715,19468844.4093527,-58287663.1707491,124662027.209347
"Male",1970,"Married or cohabiting:Zero earners",15705.5571536026,12448.316573233,22317.1547064641,22277.4021725523,-3692.60038131603,3652.84784740423,0.00904365088469821,NA,0,9659.79425480524,0,8240.80580773554,0,8240.80580773554,0,0,9659.79425480524,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",15705.5571536026,12448.316573233,22317.1547064641,22277.4021725523,-3692.60038131603,3652.84784740423,0.0962698261705002,0.915261759945691,23293.8434323159,15835.6245068656,31161.7455396824,25726.4608355193,0,-5435.28470416302,542603141.849246,0,10869.2342078085,NA,-204988195.295498,337614946.55375
"Male",1970,"Not married or cohabiting:Zero earners",15705.5571536026,12448.316573233,22317.1547064641,22277.4021725523,-3692.60038131603,3652.84784740423,0.00596756961895444,NA,0,10416.8178875062,0,7898.44017110503,0,7898.44017110503,0,0,10416.8178875062,NA,NA,NA
"Female",1980,"Married or cohabiting:One earner",12096.188562965,14411.622312808,7656.29593911072,19449.8259211337,-3400.53878462947,15194.0687666524,0.268287844506272,0.0231183153346012,3068.54469925239,13564.0689604809,506.350406816279,17571.047312894,19922.1553061813,-2857.45840010359,9415966.57130997,19529.9538169526,8471.34286419753,-10087591.77853,1633854.61629335,962229.409073352
"Female",1980,"Married or cohabiting:Two earners",12096.188562965,14411.622312808,7656.29593911072,19449.8259211337,-3400.53878462947,15194.0687666524,0.425374636807253,0.514769184274899,8717.56055562542,13435.7678411755,9246.56760437941,24905.8834247091,23154.1700171954,-7494.85419686562,75995862.0409962,18512.1551540033,9960.6106239984,27046434.743496,-42748864.8856752,60293431.8988096
"Female",1980,"Married or cohabiting:Zero earners",12096.188562965,14411.622312808,7656.29593911072,19449.8259211337,-3400.53878462947,15194.0687666524,0.0614888180363739,NA,0,9129.05737516034,0,4305.48166809147,0,4305.48166809147,0,0,9129.05737516034,NA,NA,NA
"Female",1980,"Not married or cohabiting:One earner",12096.188562965,14411.622312808,7656.29593911072,19449.8259211337,-3400.53878462947,15194.0687666524,0.193093497430747,0.842039197373551,18628.1244707715,13837.5421415917,18577.4922056143,18435.0506101788,0,-142.441595435509,347007021.298556,0,10216.8482405819,NA,-129956718.374655,217050302.9239
"Female",1980,"Not married or cohabiting:Zero earners",12096.188562965,14411.622312808,7656.29593911072,19449.8259211337,-3400.53878462947,15194.0687666524,0.0517552032193541,NA,0,6733.9536817247,0,6124.38942353912,0,6124.38942353912,0,0,6733.9536817247,NA,NA,NA
"Male",1980,"Married or cohabiting:One earner",21582.4106496856,15353.1016029902,21671.5292909532,21081.4539840281,-5061.13918618066,4471.06387925549,0.292960447480495,0.907696140526582,19524.8035437854,13561.8250887915,19896.2715095818,17557.9591976257,508.429889912425,-2846.74220186856,381217953.423414,3078.69119661476,8470.11936229026,-10115859.467905,-130751444.241361,240350649.714143
"Male",1980,"Married or cohabiting:Two earners",21582.4106496856,15353.1016029902,21671.5292909532,21081.4539840281,-5061.13918618066,4471.06387925549,0.466099392319069,0.870759764901533,18534.0754667067,13457.3983997888,23134.7123458771,24920.2473207932,9272.94500361757,-7487.41002870153,343511953.405581,8741.91469989912,9974.8022621424,27065564.2001125,-153392236.062836,217185281.542844
"Male",1980,"Married or cohabiting:Zero earners",21582.4106496856,15353.1016029902,21671.5292909532,21081.4539840281,-5061.13918618066,4471.06387925549,0.0672636866117085,NA,0,9113.33598308833,0,4301.5163148427,0,4301.5163148427,0,0,9113.33598308833,NA,NA,NA
"Male",1980,"Not married or cohabiting:One earner",21582.4106496856,15353.1016029902,21671.5292909532,21081.4539840281,-5061.13918618066,4471.06387925549,0.156237225471133,0.930660157163985,29326.989854972,18561.7702169299,32384.3008935008,25070.9288496598,0,-7313.37204384104,860072333.95363,0,13834.0791159915,NA,-353457382.677516,506614951.276105
"Male",1980,"Not married or cohabiting:Zero earners",21582.4106496856,15353.1016029902,21671.5292909532,21081.4539840281,-5061.13918618066,4471.06387925549,0.0174392481175947,NA,0,11841.4812176154,0,6652.01036138449,0,6652.01036138449,0,0,11841.4812176154,NA,NA,NA
"Female",1990,"Married or cohabiting:One earner",16162.1827265063,19181.2002364135,13151.8804248115,26808.0580432906,-5292.57583557313,18948.7534540522,0.180313586341178,0.0194822514777365,5400.63721464114,18532.1965205897,1328.30464046827,24109.7713396061,26234.4203219968,-3452.95362285896,29166882.3241669,24666.3390894118,10433.4669992944,-34847303.6241897,7630315.49614108,1949894.19611797
"Female",1990,"Married or cohabiting:Two earners",16162.1827265063,19181.2002364135,13151.8804248115,26808.0580432906,-5292.57583557313,18948.7534540522,0.525963536261202,0.59915135838167,12682.7133375821,18924.9121043116,14001.6731725965,31914.4835119527,27032.9216000062,-9120.11126065003,160851217.603282,20898.1823160096,10730.5792894883,63106952.8129735,-80150319.6336563,143807850.782598
"Female",1990,"Married or cohabiting:Zero earners",16162.1827265063,19181.2002364135,13151.8804248115,26808.0580432906,-5292.57583557313,18948.7534540522,0.0131894306442172,NA,0,10582.9607642188,0,8167.5204453587,0,8167.5204453587,0,0,10582.9607642188,NA,NA,NA
"Female",1990,"Not married or cohabiting:One earner",16162.1827265063,19181.2002364135,13151.8804248115,26808.0580432906,-5292.57583557313,18948.7534540522,0.227271797408639,0.840070498134086,21541.4180723952,16938.435840347,24411.2977464036,23022.5366856433,0,-1388.7610607603,464032692.569716,0,11742.9526074058,NA,-157509509.895972,306523182.67375
"Female",1990,"Not married or cohabiting:Zero earners",16162.1827265063,19181.2002364135,13151.8804248115,26808.0580432906,-5292.57583557313,18948.7534540522,0.0532616493447635,NA,0,10283.7403652964,0,6285.68336694183,0,6285.68336694183,0,0,10283.7403652964,NA,NA,NA
