"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Male",1980,"Married or cohabiting:Two earners",20336.556443158,14134.1462437485,20952.172033256,20357.2004253177,-4949.29363701538,4354.32202907707,0.454956959402249,0.858940112509081,15883.4826743503,11368.4503467859,22534.0915441902,24455.8471910405,9253.5533206966,-7331.79767384627,252285021.866386,8164.80657928526,8640.09448800735,17055176.4130235,-114240880.441783,155099317.837618
"Male",1980,"Married or cohabiting:Zero earners",20336.556443158,14134.1462437485,20952.172033256,20357.2004253177,-4949.29363701538,4354.32202907707,0.0798278999125286,NA,0,6721.70534640908,0,3399.2230722761,0,3399.2230722761,0,0,6721.70534640908,NA,NA,NA
"Male",1980,"Not married or cohabiting:One earner",20336.556443158,14134.1462437485,20952.172033256,20357.2004253177,-4949.29363701538,4354.32202907707,0.158329770859902,0.946401138129352,29395.5610264652,17696.0416148981,32359.2239024801,24831.8579085504,0,-7527.36599392971,864099008.060641,0,13879.532053364,NA,-371795264.622394,492303743.438239
"Male",1980,"Not married or cohabiting:Zero earners",20336.556443158,14134.1462437485,20952.172033256,20357.2004253177,-4949.29363701538,4354.32202907707,0.0179532848848857,NA,0,13508.2479671554,0,6716.51243521333,0,6716.51243521333,0,0,13508.2479671554,NA,NA,NA
"Female",1990,"Married or cohabiting:One earner",15294.492941577,16277.3275435109,12752.6973355959,25346.7763884006,-4950.86373855649,17544.9427913612,0.179077799388244,0.0382968021027196,5704.2343572291,16243.5669137714,1415.58038811752,23008.1527515862,25051.0108882754,-3458.43852480675,32538289.6021929,23105.5550836535,9354.23255675593,-35461721.1511867,6471902.64880028,3548471.09980648
"Female",1990,"Married or cohabiting:Two earners",15294.492941577,16277.3275435109,12752.6973355959,25346.7763884006,-4950.86373855649,17544.9427913612,0.519942728027635,0.604562855101294,11193.608575743,14955.3814042279,13358.7983677567,29948.8084653991,25115.9640958452,-8525.95399820278,125296872.946948,16767.3211908985,9225.51096494919,36120225.0155322,-60210443.3151502,101206654.64732
"Female",1990,"Married or cohabiting:Zero earners",15294.492941577,16277.3275435109,12752.6973355959,25346.7763884006,-4950.86373855649,17544.9427913612,0.0154416510477134,NA,0,9214.75627827923,0,7051.11917123697,0,7051.11917123697,0,0,9214.75627827923,NA,NA,NA
"Female",1990,"Not married or cohabiting:One earner",15294.492941577,16277.3275435109,12752.6973355959,25346.7763884006,-4950.86373855649,17544.9427913612,0.231444949431061,0.844177089546033,20701.0436114173,15753.653231254,23994.4239957859,22551.8729951203,0,-1442.55100066558,428533206.601799,0,11229.8571341472,NA,-153232653.862278,275300552.739524
"Female",1990,"Not married or cohabiting:Zero earners",15294.492941577,16277.3275435109,12752.6973355959,25346.7763884006,-4950.86373855649,17544.9427913612,0.0540928721053463,NA,0,8063.72391052201,0,6035.24663427013,0,6035.24663427013,0,0,8063.72391052201,NA,NA,NA
"Male",1990,"Married or cohabiting:One earner",21647.621513165,16709.1012019152,26363.0959143688,27432.2889375382,-6805.96933418495,7875.16235735437,0.194540490124499,0.885261417993332,23127.985493497,16255.1609323337,24982.2015075907,22973.8121135901,1429.61098094953,-3438.00037495016,534903712.987406,5743.5756875775,9361.81165267003,-35714831.0424977,-166375625.358568,332813256.58634
"Male",1990,"Married or cohabiting:Two earners",21647.621513165,16709.1012019152,26363.0959143688,27432.2889375382,-6805.96933418495,7875.16235735437,0.567242992509438,0.826336522504375,16756.2307892006,14957.282445161,25054.4718793152,29941.4796793047,13392.9290211667,-8505.92122117717,280771270.260954,11214.284204099,9225.33343663501,36161588.0770592,-109830055.587919,207102802.750097
"Male",1990,"Married or cohabiting:Zero earners",21647.621513165,16709.1012019152,26363.0959143688,27432.2889375382,-6805.96933418495,7875.16235735437,0.0170528309720427,NA,0,9193.86334341495,0,7051.46161976049,0,7051.46161976049,0,0,9193.86334341495,NA,NA,NA
"Male",1990,"Not married or cohabiting:One earner",21647.621513165,16709.1012019152,26363.0959143688,27432.2889375382,-6805.96933418495,7875.16235735437,0.200932672956968,0.940263770996145,28064.0918560167,19224.1372307141,36286.1473787702,28417.439652873,0,-7868.70772589718,787593251.70294,0,11941.5718834846,NA,-280313469.24302,507279782.45992
"Male",1990,"Not married or cohabiting:Zero earners",21647.621513165,16709.1012019152,26363.0959143688,27432.2889375382,-6805.96933418495,7875.16235735437,0.0202310134370524,NA,0,10681.0015656686,0,7346.06028475042,0,7346.06028475042,0,0,10681.0015656686,NA,NA,NA
