"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8850.69072393459,12081.1617354419,5463.84414920363,20682.70620117,-2583.48559330215,17802.3476452685,0.407880825001165,-0.0140639856312785,1722.67677945812,11844.9328588092,193.556735060931,20319.6993011023,22844.4133441828,-2718.27077814146,2967615.28648422,15373.5752592346,5985.86440134273,-4421690.17742073,1167099.39365799,-286975.497278494
"Female",1970,"Married or cohabiting:Two earners",8850.69072393459,12081.1617354419,5463.84414920363,20682.70620117,-2583.48559330215,17802.3476452685,0.410776049912379,0.593631434986337,7443.10995966105,11594.7367535636,7996.70020371155,23958.1274927088,20654.927388258,-4693.50009926077,55399885.8716055,12918.843402311,6437.05921069531,19444007.6278464,-23612966.0296701,51230927.4697852
"Female",1970,"Married or cohabiting:Zero earners",8850.69072393459,12081.1617354419,5463.84414920363,20682.70620117,-2583.48559330215,17802.3476452685,0.00831606728870594,NA,0,9719.37319903713,0,8256.6200975071,0,8256.6200975071,0,0,9719.37319903713,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8850.69072393459,12081.1617354419,5463.84414920363,20682.70620117,-2583.48559330215,17802.3476452685,0.133394032794528,0.845998077517873,13656.0559453673,10714.5731632751,15743.1565896435,16534.0610398928,0,790.904450249367,186487863.983002,0,7329.32992823001,NA,-62702431.5543373,123785432.428662
"Female",1970,"Not married or cohabiting:Zero earners",8850.69072393459,12081.1617354419,5463.84414920363,20682.70620117,-2583.48559330215,17802.3476452685,0.0396330250032216,NA,0,7082.85099243298,0,7041.04273634698,0,7041.04273634698,0,0,7082.85099243298,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",15776.098626411,12451.8316497003,22321.712150151,22277.5249511271,-3697.74062960724,3653.55343058333,0.442745998994968,0.921154697527436,15371.8187788074,11842.4340385485,22837.2075238036,20316.3207191138,194.540255114216,-2715.42705980397,236292812.568497,1727.06187913385,5985.98540672322,-4442756.29435849,-64163285.4796861,167686770.794456
"Male",1970,"Married or cohabiting:Two earners",15776.098626411,12451.8316497003,22321.712150151,22277.5249511271,-3697.74062960724,3653.55343058333,0.445972954330879,0.840223075653861,12915.2730272143,11590.5792531339,20647.5938042134,23955.2375667395,7999.18801430565,-4691.54425177955,166804277.36749,7442.40804496362,6434.36079829198,19412864.9999878,-60439532.6447719,125777609.722705
"Male",1970,"Married or cohabiting:Zero earners",15776.098626411,12451.8316497003,22321.712150151,22277.5249511271,-3697.74062960724,3653.55343058333,0.00904365088469821,NA,0,9709.86005480575,0,8246.47490580441,0,8246.47490580441,0,0,9709.86005480575,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",15776.098626411,12451.8316497003,22321.712150151,22277.5249511271,-3697.74062960724,3653.55343058333,0.0962698261705002,0.917264246709143,23566.0513388837,15926.8111885951,31186.9419683255,25734.485414324,0,-5452.45655400144,555358775.706901,0,10975.6434835526,NA,-211080105.473896,344278670.233007
"Male",1970,"Not married or cohabiting:Zero earners",15776.098626411,12451.8316497003,22321.712150151,22277.5249511271,-3697.74062960724,3653.55343058333,0.00596756961895444,NA,0,10416.8178875062,0,7898.44017110503,0,7898.44017110503,0,0,10416.8178875062,NA,NA,NA
"Female",1980,"Married or cohabiting:One earner",11537.0993876336,14192.7988172093,7580.56119914418,19412.9488313268,-3372.53257630341,15204.9202084861,0.240443821236586,0.00253899941487654,3312.58640918972,13236.2655345297,586.410077700229,19295.2614880449,22395.8574081222,-3687.00599777746,10973228.7183485,19557.3619269625,8348.923303828,-13133156.9689083,2271253.91285904,111325.662299197
"Female",1980,"Married or cohabiting:Two earners",11537.0993876336,14192.7988172093,7580.56119914418,19412.9488313268,-3372.53257630341,15204.9202084861,0.423496316620661,0.519915346052951,8682.5018258355,13340.3761074266,9292.06572500495,24944.8646435711,23187.8632422759,-7535.06432370984,75385837.9556368,18455.9044937169,9984.57529102187,27046662.5611722,-42211829.0473969,60220671.4694065
"Female",1980,"Married or cohabiting:Zero earners",11537.0993876336,14192.7988172093,7580.56119914418,19412.9488313268,-3372.53257630341,15204.9202084861,0.0912111614926522,NA,0,8367.16063641636,0,4260.63657183508,0,4260.63657183508,0,0,8367.16063641636,NA,NA,NA
"Female",1980,"Not married or cohabiting:One earner",11537.0993876336,14192.7988172093,7580.56119914418,19412.9488313268,-3372.53257630341,15204.9202084861,0.192633511786369,0.83123710858188,16989.8452798967,12826.5970940957,18192.0937764972,18185.7279735883,0,-6.36580290885538,288654842.63483,0,9533.461878233,NA,-107510072.502144,181144770.132683
"Female",1980,"Not married or cohabiting:Zero earners",11537.0993876336,14192.7988172093,7580.56119914418,19412.9488313268,-3372.53257630341,15204.9202084861,0.0522151888637319,NA,0,6769.28077325998,0,6083.78299078507,0,6083.78299078507,0,0,6769.28077325998,NA,NA,NA
"Male",1980,"Married or cohabiting:One earner",21748.7306873863,15333.7688184273,21724.4992649683,21130.3906525599,-5072.71424453146,4478.60563212304,0.262505510253873,0.912477507674356,19554.1155680128,13233.0374731772,22370.6149107159,19282.7708093227,589.707078042574,-3677.55117943576,382363435.6472,3325.51013409832,8348.67615725762,-13192110.4400203,-133058331.368555,236112993.838623
"Male",1980,"Married or cohabiting:Two earners",21748.7306873863,15333.7688184273,21724.4992649683,21130.3906525599,-5072.71424453146,4478.60563212304,0.464022202457652,0.868261854164712,18467.3995534675,13353.5774093618,23165.7740415215,24957.5575105682,9318.09782333799,-7526.31435429122,341044846.267412,8700.84443988708,9991.82221386456,27008508.553656,-153934902.697743,214118452.12331
"Male",1980,"Married or cohabiting:Zero earners",21748.7306873863,15333.7688184273,21724.4992649683,21130.3906525599,-5072.71424453146,4478.60563212304,0.0997958136997461,NA,0,8354.58753501884,0,4262.33489016665,0,4262.33489016665,0,0,8354.58753501884,NA,NA,NA
"Male",1980,"Not married or cohabiting:One earner",21748.7306873863,15333.7688184273,21724.4992649683,21130.3906525599,-5072.71424453146,4478.60563212304,0.156385694585371,0.932788948455676,29861.9827475477,18563.4978980644,32628.6627704897,25234.1124853444,0,-7394.55028514529,891738013.614836,0,14218.7092296126,NA,-374653125.779831,517084887.83499
"Male",1980,"Not married or cohabiting:Zero earners",21748.7306873863,15333.7688184273,21724.4992649683,21130.3906525599,-5072.71424453146,4478.60563212304,0.0172907790033576,NA,0,13690.3333668831,0,6713.33959096178,0,6713.33959096178,0,0,13690.3333668831,NA,NA,NA
"Female",1990,"Married or cohabiting:One earner",16024.4155340004,18982.4629157277,13070.6663225518,26685.3803783513,-5221.02267968094,18835.7367354804,0.1820291042099,0.0147690644351951,5402.47287842499,18193.2611580995,1363.0591056592,24040.9311614908,26122.9080793477,-3445.03602351608,29186713.2021176,24371.5935905879,10241.7644038711,-35607069.1110281,7871986.57521211,1451630.66630152
"Female",1990,"Married or cohabiting:Two earners",16024.4155340004,18982.4629157277,13070.6663225518,26685.3803783513,-5221.02267968094,18835.7367354804,0.524101685381636,0.602928158528009,12454.0701617125,18720.8710374635,13912.2719047832,31762.1561350139,26866.1742008825,-9016.28997065179,155103863.592859,20441.5090058082,10744.2193524325,63965623.708141,-78496159.2574763,140573328.043523
