"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8873.48500379584,12089.7313445192,5464.66161048727,20681.1545882916,-2576.98063470803,17793.4736125123,0.407880825001165,-0.0137697464612006,1722.67677945812,11869.505457842,193.556735060931,20322.784609519,22850.0420301921,-2720.81415573402,2967615.28648422,15442.0556357901,6036.79590035023,-4422779.64753599,1173609.92906905,-281554.431982684
"Female",1970,"Married or cohabiting:Two earners",8873.48500379584,12089.7313445192,5464.66161048727,20681.1545882916,-2576.98063470803,17793.4736125123,0.410776049912379,0.597133116444373,7404.63516639923,11532.4210993852,7995.06488569115,23947.9491249214,20627.7352823606,-4674.85104313038,54828621.9474762,12583.2541190848,6201.96606506945,19552944.8631775,-23390357.1654998,50991209.6451579
"Female",1970,"Married or cohabiting:Zero earners",8873.48500379584,12089.7313445192,5464.66161048727,20681.1545882916,-2576.98063470803,17793.4736125123,0.00831606728870594,NA,0,9678.14040815615,0,8252.04266924976,0,8252.04266924976,0,0,9678.14040815615,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8873.48500379584,12089.7313445192,5464.66161048727,20681.1545882916,-2576.98063470803,17793.4736125123,0.133394032794528,0.849969031500767,13822.8645932906,10928.9847587598,15754.3205879814,16545.0935071439,0,790.77291916244,191071585.564448,0,7328.35999730827,NA,-62666868.9786966,128404716.585749
"Female",1970,"Not married or cohabiting:Zero earners",8873.48500379584,12089.7313445192,5464.66161048727,20681.1545882916,-2576.98063470803,17793.4736125123,0.0396330250032216,NA,0,7059.43293753552,0,7039.46273069641,0,7039.46273069641,0,0,7059.43293753552,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",15725.0911441812,12436.549142917,22313.1283343704,22274.1141347021,-3691.83914887595,3652.82494920764,0.442745998994968,0.920811917940691,15440.2450500549,11866.9895082515,22842.8308953971,20319.4031144863,194.540255114216,-2717.96803602507,238401167.205744,1727.06187913385,6036.86919811089,-4443850.2665316,-65237661.9106292,168719655.028587
"Male",1970,"Married or cohabiting:Two earners",15725.0911441812,12436.549142917,22313.1283343704,22274.1141347021,-3691.83914887595,3652.82494920764,0.445972954330879,0.843508425030739,12579.9580612596,11528.309395794,20620.4325042732,23945.0707300326,7997.55454893826,-4672.91632317886,158255344.82305,7403.97385864421,6199.43097730466,19521734.4635761,-55446722.7488636,122330356.537759
"Male",1970,"Married or cohabiting:Zero earners",15725.0911441812,12436.549142917,22313.1283343704,22274.1141347021,-3691.83914887595,3652.82494920764,0.00904365088469821,NA,0,9668.69742917457,0,8241.91026226415,0,8241.91026226415,0,0,9668.69742917457,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",15725.0911441812,12436.549142917,22313.1283343704,22274.1141347021,-3691.83914887595,3652.82494920764,0.0962698261705002,0.91528804919334,23831.3391098288,15937.2012497377,31197.741448959,25732.406679933,0,-5465.33476902599,567932723.767655,0,11254.5738106673,NA,-220301885.876386,347630837.891271
"Male",1970,"Not married or cohabiting:Zero earners",15725.0911441812,12436.549142917,22313.1283343704,22274.1141347021,-3691.83914887595,3652.82494920764,0.00596756961895444,NA,0,10416.8178875062,0,7898.44017110503,0,7898.44017110503,0,0,10416.8178875062,NA,NA,NA
"Female",1980,"Married or cohabiting:One earner",11531.5717116212,14112.7129742258,7539.98971109035,19358.2094110112,-3361.62965887594,15179.8493587968,0.254970350269,0.0164296286545446,3283.98852900555,13334.5842656457,554.019618753975,18533.3234307474,21089.573347238,-3110.26953524459,10784580.65864,19639.3781171779,8732.65883132616,-11684037.7933019,1618920.78885251,719463.654190628
"Female",1980,"Married or cohabiting:Two earners",11531.5717116212,14112.7129742258,7539.98971109035,19358.2094110112,-3361.62965887594,15179.8493587968,0.417056289527232,0.503198648686636,8597.64633446669,12940.3548210722,9394.82912690699,25322.3359436167,23504.3415039726,-7576.83468726287,73919522.4925685,18170.2512441852,9946.00364575864,23355890.3921264,-41291245.0287443,55984167.8559435
"Female",1980,"Married or cohabiting:Zero earners",11531.5717116212,14112.7129742258,7539.98971109035,19358.2094110112,-3361.62965887594,15179.8493587968,0.083124659553667,NA,0,7729.62844219652,0,3346.03038715183,0,3346.03038715183,0,0,7729.62844219652,NA,NA,NA
"Female",1980,"Not married or cohabiting:One earner",11531.5717116212,14112.7129742258,7539.98971109035,19358.2094110112,-3361.62965887594,15179.8493587968,0.192910068343411,0.837745914215976,17123.4768686406,12629.8130233895,18042.3893284544,18018.6423638396,0,-23.7469646148034,293213460.070869,0,9506.48199708087,NA,-112037241.512957,181176218.557911
"Female",1980,"Not married or cohabiting:Zero earners",11531.5717116212,14112.7129742258,7539.98971109035,19358.2094110112,-3361.62965887594,15179.8493587968,0.05193863230669,NA,0,6918.551506246,0,6118.89055702155,0,6118.89055702155,0,0,6918.551506246,NA,NA,NA
"Male",1980,"Married or cohabiting:One earner",21794.7623589084,15354.0994131088,21730.1956977112,21112.1829768264,-5078.86988930332,4460.85716841854,0.278457589975528,0.903485606721648,19635.4998766646,13332.3529161006,21059.6495823165,18516.1540544103,556.800196638087,-3100.29572454433,385552855.406494,3295.16433313216,8729.94927862402,-11726017.4366477,-137305677.364054,236521160.605788
"Male",1980,"Married or cohabiting:Two earners",21794.7623589084,15354.0994131088,21730.1956977112,21112.1829768264,-5078.86988930332,4460.85716841854,0.456892323340308,0.86542908031388,18176.784433868,12952.6653556893,23484.6949146015,25338.9010816552,9424.12841626514,-7569.92224921146,330395492.355308,8620.74162650264,9951.28045407075,23325917.8273065,-149966686.252449,203754723.930155
"Male",1980,"Married or cohabiting:Zero earners",21794.7623589084,15354.0994131088,21730.1956977112,21112.1829768264,-5078.86988930332,4460.85716841854,0.0909736130954357,NA,0,7732.71394013689,0,3349.10978247114,0,3349.10978247114,0,0,7732.71394013689,NA,NA,NA
"Male",1980,"Not married or cohabiting:One earner",21794.7623589084,15354.0994131088,21730.1956977112,21112.1829768264,-5078.86988930332,4460.85716841854,0.156420106731717,0.937103719617183,30422.4099005924,18992.8129076072,32834.6509546156,25318.9638294671,0,-7515.68712514851,925523024.159662,0,14259.0156434775,NA,-384057804.568608,541465219.591046
"Male",1980,"Not married or cohabiting:Zero earners",21794.7623589084,15354.0994131088,21730.1956977112,21112.1829768264,-5078.86988930332,4460.85716841854,0.0172563668570116,NA,0,12252.8011113584,0,6605.92788564722,0,6605.92788564722,0,0,12252.8011113584,NA,NA,NA
"Female",1990,"Married or cohabiting:One earner",16175.901927942,19375.0240732871,13184.4129340818,26872.8773685527,-5313.75558492872,19002.2200193996,0.181097949734137,0.00923652427481669,5198.41198462874,18979.6166641921,1312.97991070307,24184.184063245,26393.8057368949,-3522.60158435297,27023487.1619317,25207.7357773523,10802.0402356607,-34654538.0565593,8542362.09473379,911311.200106272
"Female",1990,"Married or cohabiting:Two earners",16175.901927942,19375.0240732871,13184.4129340818,26872.8773685527,-5313.75558492872,19002.2200193996,0.525290208090217,0.604673439514453,12870.6848713735,19217.8334217102,14059.6495753017,31989.6793646987,27075.2351666227,-9145.20537722572,165654529.058202,21179.2795579025,10864.7577409311,67140497.3686705,-83231059.9598662,149563966.467008
"Female",1990,"Married or cohabiting:Zero earners",16175.901927942,19375.0240732871,13184.4129340818,26872.8773685527,-5313.75558492872,19002.2200193996,0.0131066070953413,NA,0,10382.7092012334,0,8113.21587206626,0,8113.21587206626,0,0,10382.7092012334,NA,NA,NA
"Female",1990,"Not married or cohabiting:One earner",16175.901927942,19375.0240732871,13184.4129340818,26872.8773685527,-5313.75558492872,19002.2200193996,0.22733108570388,0.833550311517329,21325.4185453527,16803.6952546084,24463.1687562941,23087.3967800177,0,-1375.7719762764,454773476.134472,0,11821.1288180236,NA,-156074194.228516,298699281.905961
"Female",1990,"Not married or cohabiting:Zero earners",16175.901927942,19375.0240732871,13184.4129340818,26872.8773685527,-5313.75558492872,19002.2200193996,0.0531741493764248,NA,0,9784.34259873692,0,6290.39079353509,0,6290.39079353509,0,0,9784.34259873692,NA,NA,NA
"Male",1990,"Married or cohabiting:One earner",24513.8454429157,20149.961005833,27952.4866633222,29100.3037959971,-7170.65483101888,8318.47196369374,0.196353237191982,0.872347428945856,25196.6589033871,18956.6276175937,26314.2419045977,24139.8141869247,1324.3297084683,-3498.75742614127,634871619.893637,5221.79353881484,10792.7312341535,-34848733.6680134,-183351649.991329,416671236.234289
"Male",1990,"Married or cohabiting:Two earners",24513.8454429157,20149.961005833,27952.4866633222,29100.3037959971,-7170.65483101888,8318.47196369374,0.571680237174528,0.860137484985857,21158.6464201639,19211.6547812751,27011.0919779605,31981.7093475439,14096.0540776335,-9125.43670805009,447688318.333514,12895.6512154538,10860.2394052013,67311299.948928,-165360086.481225,349639531.801224
"Male",1990,"Married or cohabiting:Zero earners",24513.8454429157,20149.961005833,27952.4866633222,29100.3037959971,-7170.65483101888,8318.47196369374,0.0143933710610428,NA,0,10313.355187629,0,8070.85898263038,0,8070.85898263038,0,0,10313.355187629,NA,NA,NA
"Male",1990,"Not married or cohabiting:One earner",24513.8454429157,20149.961005833,27952.4866633222,29100.3037959971,-7170.65483101888,8318.47196369374,0.199030643112458,0.923167211962981,29875.1070794854,21949.943564092,36898.3011759077,29210.1479630754,0,-7688.15321283222,892522023.010719,0,12789.6630431097,NA,-287148740.650088,605373282.360624
"Male",1990,"Not married or cohabiting:Zero earners",24513.8454429157,20149.961005833,27952.4866633222,29100.3037959971,-7170.65483101888,8318.47196369374,0.0185425114599895,NA,0,12258.581301984,0,7937.46563560223,0,7937.46563560223,0,0,12258.581301984,NA,NA,NA
"Female",2000,"Married or cohabiting:One earner",21168.8098644801,22207.3540621992,17278.4104668646,32077.2584553547,-6965.35125944403,21764.1992479341,0.170312779213338,0.127344863371273,9940.90697186283,20152.3765605961,2626.38452633081,27278.4770277169,29102.1269044176,-4450.03440303153,98821631.4232311,30620.1381186899,14978.293538193,-76433378.6166292,3123113.05554978,25511365.8621513
"Female",2000,"Married or cohabiting:Two earners",21168.8098644801,22207.3540621992,17278.4104668646,32077.2584553547,-6965.35125944403,21764.1992479341,0.527014343161558,0.60644465447685,17571.0162702045,21495.6757993815,18586.8802905657,38799.4017386107,31892.3675454332,-11679.8460973882,308740612.76779,26131.4988420877,17071.6158749463,96090393.1743263,-175776332.81849,229054673.123648
"Female",2000,"Married or cohabiting:Zero earners",21168.8098644801,22207.3540621992,17278.4104668646,32077.2584553547,-6965.35125944403,21764.1992479341,0.0124240574044416,NA,0,13931.8871998587,0,9258.62285323557,0,9258.62285323557,0,0,13931.8871998587,NA,NA,NA
"Female",2000,"Not married or cohabiting:One earner",21168.8098644801,22207.3540621992,17278.4104668646,32077.2584553547,-6965.35125944403,21764.1992479341,0.245852321215753,0.856608289859664,27248.5192577709,20441.1684641718,28616.9806181049,26614.0211838147,0,-2002.95943429026,742481801.741113,0,14355.346497725,NA,-265358203.315107,477123598.426008
"Female",2000,"Not married or cohabiting:Zero earners",21168.8098644801,22207.3540621992,17278.4104668646,32077.2584553547,-6965.35125944403,21764.1992479341,0.0443964990049096,NA,0,12203.5468034686,0,7329.304298183,0,7329.304298183,0,0,12203.5468034686,NA,NA,NA
"Male",2000,"Married or cohabiting:One earner",30093.3403718996,22631.1133808488,32348.2298573,34324.4711816002,-9038.37603123377,11014.6173555339,0.182736909835337,0.821326624361309,30574.5849983582,20127.6351553369,29050.3880451116,27250.686998133,2636.21316583954,-4435.91421281809,934805247.82183,9955.63719104344,14959.8267196018,-76583018.2673396,-352782677.424714,505439552.129772
"Male",2000,"Married or cohabiting:Two earners",30093.3403718996,22631.1133808488,32348.2298573,34324.4711816002,-9038.37603123377,11014.6173555339,0.566347491864012,0.797266301667367,26124.3034260368,21508.2061446282,31867.557670938,38796.8723593223,18597.9174610174,-11668.6027726331,682479229.495639,17579.8640946971,17068.5682088619,95916712.7160318,-330422448.725236,447973493.486464
"Male",2000,"Married or cohabiting:Zero earners",30093.3403718996,22631.1133808488,32348.2298573,34324.4711816002,-9038.37603123377,11014.6173555339,0.013344620360577,NA,0,13908.5119823835,0,9235.85519335774,0,9235.85519335774,0,0,13908.5119823835,NA,NA,NA
"Male",2000,"Not married or cohabiting:One earner",30093.3403718996,22631.1133808488,32348.2298573,34324.4711816002,-9038.37603123377,11014.6173555339,0.211992289387418,0.902958245832259,36597.4233310386,24072.0315276146,42414.4688640979,33165.8037676722,0,-9248.66509642563,1339371394.47125,0,18107.1264481806,NA,-543888360.407587,795483034.063682
"Male",2000,"Not married or cohabiting:Zero earners",30093.3403718996,22631.1133808488,32348.2298573,34324.4711816002,-9038.37603123377,11014.6173555339,0.025578688552656,NA,0,13323.0097976286,0,8527.01435449292,0,8527.01435449292,0,0,13323.0097976286,NA,NA,NA
"Female",2010,"Married or cohabiting:One earner",22904.1293629495,24921.8694731249,17994.079020914,32850.676104765,-5625.20560607031,20481.8026899213,0.190418044849146,0.126027696738223,11255.073079795,22301.3103861954,3504.19555343362,28188.3166753625,27421.2019364585,-2737.08081452959,126676670.031526,31558.0018388102,12496.7594049086,-96089257.0782529,1045901.65738594,31633314.6106594
"Female",2010,"Married or cohabiting:Two earners",22904.1293629495,24921.8694731249,17994.079020914,32850.676104765,-5625.20560607031,20481.8026899213,0.47451174943561,0.665693717282971,19043.5516459284,24224.683777484,20839.3295582933,42120.0406399982,32160.0277504572,-10879.3166687524,362656859.291141,26702.1156516289,15063.1429374999,124327122.511922,-179883482.305504,307100499.497542
"Female",2010,"Married or cohabiting:Zero earners",22904.1293629495,24921.8694731249,17994.079020914,32850.676104765,-5625.20560607031,20481.8026899213,0.0174608882526211,NA,0,12505.578831495,0,7536.89740531077,0,7536.89740531077,0,0,12505.578831495,NA,NA,NA
"Female",2010,"Not married or cohabiting:One earner",22904.1293629495,24921.8694731249,17994.079020914,32850.676104765,-5625.20560607031,20481.8026899213,0.252531486074415,0.892664005520976,29827.7691496464,22729.8071728609,29454.9814152571,27405.8895284065,0,-2049.09188685063,889695812.4446,0,13997.2947147693,NA,-284487968.830635,605207843.613964
"Female",2010,"Not married or cohabiting:Zero earners",22904.1293629495,24921.8694731249,17994.079020914,32850.676104765,-5625.20560607031,20481.8026899213,0.0650778313882082,NA,0,10425.7371728025,0,6825.77834614985,0,6825.77834614985,0,0,10425.7371728025,NA,NA,NA
"Male",2010,"Married or cohabiting:One earner",30961.0146442124,25424.2145516757,31386.5914024437,35319.0172391148,-7430.33550214535,11362.7613388165,0.205133752460216,0.858224621439045,31550.4272869116,22292.732085594,27383.3072617016,28171.8925903,3519.48924975178,-2730.9039211534,995429461.986696,11269.1329389021,12492.757584242,-96375258.7140881,-295426015.785839,603628187.486775
"Male",2010,"Married or cohabiting:Two earners",30961.0146442124,25424.2145516757,31386.5914024437,35319.0172391148,-7430.33550214535,11362.7613388165,0.51087923775555,0.826987526638408,26691.6342853085,24222.3107556789,32129.7790810386,42096.9852312733,20828.3964504406,-10861.1903002059,712443340.820655,19041.5874168082,15066.478677891,124423615.461717,-302192179.908106,534674776.374261
"Male",2010,"Married or cohabiting:Zero earners",30961.0146442124,25424.2145516757,31386.5914024437,35319.0172391148,-7430.33550214535,11362.7613388165,0.0189689480536911,NA,0,12444.497633043,0,7492.06707144306,0,7492.06707144306,0,0,12444.497633043,NA,NA,NA
"Male",2010,"Not married or cohabiting:One earner",30961.0146442124,25424.2145516757,31386.5914024437,35319.0172391148,-7430.33550214535,11362.7613388165,0.226140763618201,0.928008876481079,36865.0272559228,26321.4362173464,41367.6580605284,33482.8225977977,0,-7884.83546273066,1359030234.57993,0,15839.1638770779,NA,-458545671.180512,900484563.399415
"Male",2010,"Not married or cohabiting:Zero earners",30961.0146442124,25424.2145516757,31386.5914024437,35319.0172391148,-7430.33550214535,11362.7613388165,0.0388772981123422,NA,0,13554.2307919747,0,8220.42131183174,0,8220.42131183174,0,0,13554.2307919747,NA,NA,NA
