"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8831.29814966389,12089.4206195701,5462.8976439336,20682.7828672816,-2581.41437775694,17801.2996011049,0.407880825001165,-0.0139224315826007,1722.67677945812,11873.2856143667,193.556735060931,20323.1925474515,22851.0066414019,-2721.37082901131,2967615.28648422,15439.4585027822,6023.87723045588,-4422966.35453726,1170583.97160902,-284767.096443984
"Female",1970,"Married or cohabiting:Two earners",8831.29814966389,12089.4206195701,5462.8976439336,20682.7828672816,-2581.41437775694,17801.2996011049,0.410776049912379,0.594216533758319,7387.4536901814,11587.6703927532,7994.25220225953,23954.5512279319,20645.8291857859,-4685.5301601135,54574472.0245748,12896.0294979006,6413.5359987235,19554834.1023249,-23262363.3339438,50866942.7929592
"Female",1970,"Married or cohabiting:Zero earners",8831.29814966389,12089.4206195701,5462.8976439336,20682.7828672816,-2581.41437775694,17801.2996011049,0.00831606728870594,NA,0,9701.32588549697,0,8254.66706541447,0,8254.66706541447,0,0,9701.32588549697,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8831.29814966389,12089.4206195701,5462.8976439336,20682.7828672816,-2581.41437775694,17801.2996011049,0.133394032794528,0.845709087363763,13656.0666055345,10717.8454376908,15743.5994512571,16535.1830851378,0,791.583633880741,186488155.134795,0,7334.73202768211,NA,-62707119.1132361,123781036.021557
"Female",1970,"Not married or cohabiting:Zero earners",8831.29814966389,12089.4206195701,5462.8976439336,20682.7828672816,-2581.41437775694,17801.2996011049,0.0396330250032216,NA,0,7078.08609473739,0,7040.72606188912,0,7040.72606188912,0,0,7078.08609473739,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",15780.1204929671,12453.940818752,22319.8493133378,22276.9865551872,-3695.32568312991,3652.46292497939,0.442745998994968,0.921140868925355,15437.6505152506,11870.7670127779,22843.7945958535,20319.8106672575,194.540255114216,-2718.5241837102,238321053.431017,1727.06187913385,6023.9631584838,-4444037.74506916,-65071731.4597415,168805284.226211
"Male",1970,"Married or cohabiting:Two earners",15780.1204929671,12453.940818752,22319.8493133378,22276.9865551872,-3695.32568312991,3652.46292497939,0.445972954330879,0.841130652192194,12892.4735149284,11583.5174763051,20638.5059091017,23951.6653535157,7996.74278619631,-4683.58334178233,166215873.333131,7386.81060715724,6410.85197148081,19523570.6209467,-60124830.6290018,125614613.325074
"Male",1970,"Married or cohabiting:Zero earners",15780.1204929671,12453.940818752,22319.8493133378,22276.9865551872,-3695.32568312991,3652.46292497939,0.00904365088469821,NA,0,9691.84349092815,0,8244.52732851333,0,8244.52732851333,0,0,9691.84349092815,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",15780.1204929671,12453.940818752,22319.8493133378,22276.9865551872,-3695.32568312991,3652.46292497939,0.0962698261705002,0.916308213826448,23452.8455379894,15876.3087204631,31179.397743871,25729.573877221,0,-5449.82386665004,550035963.828791,0,10942.0419547785,NA,-208853533.690735,341182430.138058
"Male",1970,"Not married or cohabiting:Zero earners",15780.1204929671,12453.940818752,22319.8493133378,22276.9865551872,-3695.32568312991,3652.46292497939,0.00596756961895444,NA,0,10416.8178875062,0,7898.44017110503,0,7898.44017110503,0,0,10416.8178875062,NA,NA,NA
