"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8872.33659839745,12095.0215937927,5464.7655577517,20681.7695971358,-2575.43511816356,17792.4391575476,0.407880825001165,-0.0138319602034379,1722.67677945812,11846.796957571,193.556735060931,20318.9861224205,22842.5520601156,-2717.12267275606,2967615.28648422,15360.1955323162,5966.37179271149,-4421329.91334423,1171429.18856056,-282285.438299398
"Female",1970,"Married or cohabiting:Two earners",8872.33659839745,12095.0215937927,5464.7655577517,20681.7695971358,-2575.43511816356,17792.4391575476,0.410776049912379,0.594527992717806,7412.5245573102,11572.243789674,7995.42344003037,23952.9594221739,20632.6541675043,-4675.11818536074,54945520.3127267,12597.6731611028,6240.93979970568,19454365.2571832,-23401547.0799455,50998338.489968
"Female",1970,"Married or cohabiting:Zero earners",8872.33659839745,12095.0215937927,5464.7655577517,20681.7695971358,-2575.43511816356,17792.4391575476,0.00831606728870594,NA,0,9865.03704694231,0,8271.53085989556,0,8271.53085989556,0,0,9865.03704694231,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8872.33659839745,12095.0215937927,5464.7655577517,20681.7695971358,-2575.43511816356,17792.4391575476,0.133394032794528,0.849520116232226,13804.3445466146,10905.6059988646,15753.9956988556,16544.8220900319,0,790.826391176289,190559928.361647,0,7328.75132162928,NA,-62669141.0467293,127890787.314916
"Female",1970,"Not married or cohabiting:Zero earners",8872.33659839745,12095.0215937927,5464.7655577517,20681.7695971358,-2575.43511816356,17792.4391575476,0.0396330250032216,NA,0,7052.27549315136,0,7038.96741396962,0,7038.96741396962,0,0,7052.27549315136,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",15617.9875795197,12437.7870141127,22308.844487718,22274.7723695949,-3687.05679171161,3652.98467358848,0.442745998994968,0.921419593483839,15358.4492889973,11844.2965671098,22835.3479970982,20315.6082137914,194.540255114216,-2714.28003842099,235881964.5627,1727.06187913385,5966.51108076223,-4442394.54154932,-63824105.7958741,167615464.225279
"Male",1970,"Married or cohabiting:Two earners",15617.9875795197,12437.7870141127,22308.844487718,22274.7723695949,-3687.05679171161,3652.98467358848,0.445972954330879,0.842057756031488,12594.3673966376,11568.1024333135,20625.3458168082,23950.0753511157,7997.912697071,-4673.18316276358,158618090.121489,7411.85489923386,6238.37659892069,19423256.9234728,-55359483.5483755,122681863.496584
"Male",1970,"Married or cohabiting:Zero earners",15617.9875795197,12437.7870141127,22308.844487718,22274.7723695949,-3687.05679171161,3652.98467358848,0.00904365088469821,NA,0,9855.27561610261,0,8261.34402256396,0,8261.34402256396,0,0,9855.27561610261,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",15617.9875795197,12437.7870141127,22308.844487718,22274.7723695949,-3687.05679171161,3652.98467358848,0.0962698261705002,0.915363327782236,23316.5981878752,15877.6350128987,31164.8959769949,25731.6871834512,0,-5433.20879354372,543663751.054824,0,10863.0230724688,NA,-204784863.862493,338878887.192333
"Male",1970,"Not married or cohabiting:Zero earners",15617.9875795197,12437.7870141127,22308.844487718,22274.7723695949,-3687.05679171161,3652.98467358848,0.00596756961895444,NA,0,10416.8178875062,0,7898.44017110503,0,7898.44017110503,0,0,10416.8178875062,NA,NA,NA
"Female",1980,"Married or cohabiting:One earner",11525.4269922261,14130.9551702903,7549.95351941628,19364.2156842964,-3365.2793723408,15179.5415372209,0.267812305641164,0.0162055943295087,3018.34645826627,13501.5079851685,504.290681605433,17782.1938602865,20056.9543498434,-2779.05117116234,9110415.34212856,19750.281260376,8855.92551373646,-10114535.5160889,1664534.26205074,660414.088090422
"Female",1980,"Married or cohabiting:Two earners",11525.4269922261,14130.9551702903,7549.95351941628,19364.2156842964,-3365.2793723408,15179.5415372209,0.425849275130007,0.522480547977947,8875.73560790249,13302.8586623804,9262.78926851374,24930.1741647242,23031.7225399892,-7364.33764377867,78778682.5813882,18271.9902647083,10131.7031670868,27883928.8822774,-44971945.2901588,61690666.1735005
"Female",1980,"Married or cohabiting:Zero earners",11525.4269922261,14130.9551702903,7549.95351941628,19364.2156842964,-3365.2793723408,15179.5415372209,0.0614897185787283,NA,0,7468.17161402909,0,3200.98425677394,0,3200.98425677394,0,0,7468.17161402909,NA,NA,NA
"Female",1980,"Not married or cohabiting:One earner",11525.4269922261,14130.9551702903,7549.95351941628,19364.2156842964,-3365.2793723408,15179.5415372209,0.192568395455233,0.837942988109227,16854.4664592296,12549.7898629744,18021.3693185721,18008.2563426887,0,-13.1129758833588,284073039.625296,0,9332.03316005491,NA,-106831328.460423,177241711.16487
"Female",1980,"Not married or cohabiting:Zero earners",11525.4269922261,14130.9551702903,7549.95351941628,19364.2156842964,-3365.2793723408,15179.5415372209,0.0522803051948682,NA,0,6654.26213832792,0,6135.77329215268,0,6135.77329215268,0,0,6654.26213832792,NA,NA,NA
"Male",1980,"Married or cohabiting:One earner",21525.8860331891,15335.1871352825,21644.4667406306,21085.1424895638,-5042.95657253337,4483.63232146658,0.292428018889872,0.90278739706655,19745.6149110481,13500.6020773126,20032.1252165683,17769.2832402497,506.357763474568,-2769.19973979325,389889308.215405,3028.8084190289,8853.11687841219,-10143422.4584473,-139082907.169395,240662978.587558
"Male",1980,"Married or cohabiting:Two earners",21525.8860331891,15335.1871352825,21644.4667406306,21085.1424895638,-5042.95657253337,4483.63232146658,0.466574867529275,0.861638433665674,18274.9998029354,13316.1361367226,23009.3023685915,24946.017752548,9292.31175010124,-7355.59636614475,333975617.79729,8902.2691711265,10136.6454007468,27876566.7452981,-152170416.465877,209681768.076697
"Male",1980,"Married or cohabiting:Zero earners",21525.8860331891,15335.1871352825,21644.4667406306,21085.1424895638,-5042.95657253337,4483.63232146658,0.0673206399921248,NA,0,7486.86452604875,0,3217.28073006927,0,3217.28073006927,0,0,7486.86452604875,NA,NA,NA
"Male",1980,"Not married or cohabiting:One earner",21525.8860331891,15335.1871352825,21644.4667406306,21085.1424895638,-5042.95657253337,4483.63232146658,0.156016248405687,0.93458634001479,29319.9035463538,18552.0410493624,32374.5116066064,25065.0112200622,0,-7309.50038654418,859656743.967491,0,13678.8013207691,NA,-351294061.22167,508362682.74581
"Male",1980,"Not married or cohabiting:Zero earners",21525.8860331891,15335.1871352825,21644.4667406306,21085.1424895638,-5042.95657253337,4483.63232146658,0.0176602251830414,NA,0,15044.8355584927,0,6941.18282145025,0,6941.18282145025,0,0,15044.8355584927,NA,NA,NA
"Female",1990,"Married or cohabiting:One earner",15906.2516123141,18994.3009087506,13108.2811785009,26721.6668867739,-5248.53594801246,18861.9216562854,0.180854355187998,0.014801122668244,5400.19753024212,18278.7798896893,1356.42222562994,23998.3774914601,26085.8406600936,-3443.88539426342,29162133.3656331,24642.2526711436,10215.9101928383,-35383415.4330574,7682286.41074766,1461004.34332327
"Female",1990,"Married or cohabiting:Two earners",15906.2516123141,18994.3009087506,13108.2811785009,26721.6668867739,-5248.53594801246,18861.9216562854,0.525182714906251,0.608730082633298,12528.4809526252,18737.337989213,13980.2677239629,31824.071899001,26931.9293318557,-9088.12515681764,156962834.980292,20580.6606864488,10691.8793972404,65720969.1379216,-79784184.6238201,142899619.494391
"Female",1990,"Married or cohabiting:Zero earners",15906.2516123141,18994.3009087506,13108.2811785009,26721.6668867739,-5248.53594801246,18861.9216562854,0.0134542098594047,NA,0,10333.3797415977,0,7992.08732532719,0,7992.08732532719,0,0,10333.3797415977,NA,NA,NA
"Female",1990,"Not married or cohabiting:One earner",15906.2516123141,18994.3009087506,13108.2811785009,26721.6668867739,-5248.53594801246,18861.9216562854,0.227486057563751,0.829881736057367,20983.8953993954,16651.2647104761,24268.6141395183,22957.8100213704,0,-1310.80411814789,440323866.132767,0,11732.5695599712,NA,-150356219.076992,289967647.055775
