"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8849.97973300359,12053.4729294319,5463.76735637473,20678.5797579254,-2578.44222796462,17793.2546295153,0.407880825001165,-0.0137256898303621,1722.67677945812,11842.4591042294,193.556735060931,20318.5955107424,22842.6136762434,-2717.57490056192,2967615.28648422,15367.7484992401,5976.38160710271,-4421341.83956105,1173712.47024716,-280014.082829627
"Female",1970,"Married or cohabiting:Two earners",8849.97973300359,12053.4729294319,5463.76735637473,20678.5797579254,-2578.44222796462,17793.2546295153,0.410776049912379,0.596625861785487,7449.69660252207,11536.5339744032,7996.86046018215,23949.7783866427,20634.5781840841,-4681.6602576236,55497979.4696289,12675.2510136156,6289.91098260314,19428244.4606327,-23650003.0059497,51276220.9243151
"Female",1970,"Married or cohabiting:Zero earners",8849.97973300359,12053.4729294319,5463.76735637473,20678.5797579254,-2578.44222796462,17793.2546295153,0.00831606728870594,NA,0,9697.80409590441,0,8254.27489274222,0,8254.27489274222,0,0,9697.80409590441,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8849.97973300359,12053.4729294319,5463.76735637473,20678.5797579254,-2578.44222796462,17793.2546295153,0.133394032794528,0.845635161620461,13642.2479031081,10696.99924469,15742.0874087673,16533.0705376062,0,790.983128838897,186110927.849858,0,7329.92194924866,NA,-62706445.3955193,123404482.454337
"Female",1970,"Not married or cohabiting:Zero earners",8849.97973300359,12053.4729294319,5463.76735637473,20678.5797579254,-2578.44222796462,17793.2546295153,0.0396330250032216,NA,0,7047.67975124744,0,7038.64611038346,0,7038.64611038346,0,0,7047.67975124744,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",15689.1949583139,12424.6384848708,22312.4119401982,22273.3699620764,-3692.66679778829,3653.6248196665,0.442745998994968,0.921318540126703,15365.9960128095,11839.9617836309,22835.40955505,20315.2179709156,194.540255114216,-2714.7318392486,236113833.465679,1727.06187913385,5976.51143397118,-4442406.5170493,-64053360.129777,167618066.818856
"Male",1970,"Married or cohabiting:Two earners",15689.1949583139,12424.6384848708,22312.4119401982,22273.3699620764,-3692.66679778829,3653.6248196665,0.445972954330879,0.841089733266083,12671.8789535643,11532.419533098,20627.2676536682,23946.897919382,7999.34808922157,-4679.71782350786,160576516.213785,7448.98779560053,6287.31447504576,19397171.4287253,-57059000.3630398,122914687.279466
"Male",1970,"Married or cohabiting:Zero earners",15689.1949583139,12424.6384848708,22312.4119401982,22273.3699620764,-3692.66679778829,3653.6248196665,0.00904365088469821,NA,0,9688.32769287817,0,8244.13625117593,0,8244.13625117593,0,0,9688.32769287817,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",15689.1949583139,12424.6384848708,22312.4119401982,22273.3699620764,-3692.66679778829,3653.6248196665,0.0962698261705002,0.915838232370655,23584.2552547757,15914.5561164444,31192.766710618,25735.2505081343,0,-5457.51620248366,556217095.922417,0,11045.4359144944,NA,-212472827.04008,343744268.882339
"Male",1970,"Not married or cohabiting:Zero earners",15689.1949583139,12424.6384848708,22312.4119401982,22273.3699620764,-3692.66679778829,3653.6248196665,0.00596756961895444,NA,0,10416.8178875062,0,7898.44017110503,0,7898.44017110503,0,0,10416.8178875062,NA,NA,NA
